COCORAHS	KLOT	DISTANCE TO KLOT, IN FEET	Site_ID	Name	Latitude	Longitude	Daily_Data	Site_Numbe	CELL_NO	"Distance to KLOT, in miles"
0	0	62235.56144	US1ILDP0074	NAPERVILLE 1.9 ENE IL US	41.7682	-88.1174	1487	1	68286	11.79
1	0	67812.33545	US1ILDP0075	NAPERVILLE 1.1 NW IL US	41.7729	-88.1713	933	2	68285	12.84
2	0	137601.0532	US1ILDP0077	ROSELLE 1.1 W IL US	41.9778	-88.1036	1714	3	70535	26.06
3	0	60031.79647	US1ILDP0079	BURR RIDGE 1.9 SW IL US	41.7319	-87.9486	1655	4	68289	11.37
4	0	190168.5483	US1ILCK0081	ARLINGTON HEIGHTS 1.8 NNW IL US	42.1192	-87.9951	1703	5	72786	36.02
5	0	176616.0174	US1ILCK0087	ARLINGTON HEIGHTS 1.3 SW IL US	42.0822	-88.0019	1031	6	72336	33.45
6	0	92106.62942	US1ILDP0047	GLEN ELLYN 1.4 SE IL US	41.8515	-88.0453	1817	7	69637	17.44
7	0	106151.5804	US1ILDP0040	LOMBARD 1.0 NNW IL US	41.8884	-88.0229	2254	8	70087	20.10
8	0	114724.9373	US1ILDP0042	CAROL STREAM 0.3 SSE IL US	41.913	-88.1294	2265	9	70085	21.73
10	0	64122.63109	US1ILDP0101	AURORA 3.8 SE IL US	41.7304	-88.2376	1061	10	67834	12.14
11	0	48566.32544	US1ILDP0102	BOLINGBROOK 2.7 NE IL US	41.7302	-88.0448	961	11	68288	9.20
12	0	178361.5319	US1ILCK0143	INVERNESS 1.7 S IL US	42.0904	-88.0949	1602	12	71884	33.78
13	0	50105.33991	US1ILWL0044	NAPERVILLE 3.6 SSW IL US	41.7146	-88.1807	1192	13	67385	9.49
14	0	69478.97507	US1ILDP0030	LISLE 0.5 WSW IL US	41.79	-88.0979	1338	14	68736	13.16
15	0	93374.32647	US1ILDP0058	WHEATON 0.5 W IL US	41.8548	-88.1174	1991	15	69185	17.68
16	0	48572.40425	US1ILDP0052	DARIEN 2.4 SSW IL US	41.7185	-87.9996	1128	16	68289	9.20
17	0	156809.06	US1ILCK0131	SCHAUMBURG 2.0 E IL US	42.0303	-88.044	1028	17	71435	29.70
18	0	127901.7408	US1ILCK0137	MELROSE PARK 2.0 NW IL US	41.92	-87.8855	1003	18	70539	24.22
19	0	89487.83966	US1ILDP0057	AURORA 3.5 NE IL US	41.8089	-88.2528	1409	19	68283	16.95
20	0	150991.6299	US1ILCK0129	SCHAUMBURG 2.7 WSW IL US	42.0135	-88.1289	1550	20	70984	28.60
21	0	166602.719	US1ILCK0046	DES PLAINES 0.5 NW IL US	42.0398	-87.9083	1333	21	71888	31.55
