#### USGS	05530990	SALT CREEK AT ROLLING MEADOWS, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	05530990	2006-03-16	0.03	A
USGS	05530990	2006-03-17	0.03	A
USGS	05530990	2006-03-18	0.00	A
USGS	05530990	2006-03-19	0.00	A
USGS	05530990	2006-03-20	0.00	A
USGS	05530990	2006-03-21	0.00	A
USGS	05530990	2006-03-22	0.00	A
USGS	05530990	2006-03-23	0.01	A
USGS	05530990	2006-03-24	0.20	A
USGS	05530990	2006-03-25	0.00	A
USGS	05530990	2006-03-26	0.00	A
USGS	05530990	2006-03-27	0.13	A
USGS	05530990	2006-03-28	0.07	A
USGS	05530990	2006-03-29	0.00	A
USGS	05530990	2006-03-30	0.00	A
USGS	05530990	2006-03-31	0.11	A
USGS	05530990	2006-04-01	0.00	A
USGS	05530990	2006-04-02	0.44	A
USGS	05530990	2006-04-03	0.31	A
USGS	05530990	2006-04-04	0.00	A
USGS	05530990	2006-04-05	0.00	A
USGS	05530990	2006-04-06	0.00	A
USGS	05530990	2006-04-07	0.09	A
USGS	05530990	2006-04-08	0.00	A
USGS	05530990	2006-04-09	0.00	A
USGS	05530990	2006-04-10	0.00	A
USGS	05530990	2006-04-11	0.01	A
USGS	05530990	2006-04-12	0.02	A
USGS	05530990	2006-04-13	0.03	A
USGS	05530990	2006-04-14	0.01	A
USGS	05530990	2006-04-15	0.00	A
USGS	05530990	2006-04-16	0.88	A
USGS	05530990	2006-04-17	0.01	A
USGS	05530990	2006-04-18	0.00	A
USGS	05530990	2006-04-19	0.00	A
USGS	05530990	2006-04-20	0.02	A
USGS	05530990	2006-04-21	0.00	A
USGS	05530990	2006-04-22	0.03	A
USGS	05530990	2006-04-23	0.00	A
USGS	05530990	2006-04-24	0.00	A
USGS	05530990	2006-04-25	0.09	A
USGS	05530990	2006-04-26	0.00	A
USGS	05530990	2006-04-27	0.00	A
USGS	05530990	2006-04-28	0.00	A
USGS	05530990	2006-04-29	0.39	A
USGS	05530990	2006-04-30	0.83	A
USGS	05530990	2006-05-01	0.19	A
USGS	05530990	2006-05-02	0.03	A
USGS	05530990	2006-05-03	0.00	A
USGS	05530990	2006-05-04	0.00	A
USGS	05530990	2006-05-05	0.00	A
USGS	05530990	2006-05-06	0.00	A
USGS	05530990	2006-05-07	0.00	A
USGS	05530990	2006-05-08	0.00	A
USGS	05530990	2006-05-09	0.01	A
USGS	05530990	2006-05-10	0.07	A
USGS	05530990	2006-05-11	0.75	A
USGS	05530990	2006-05-12	0.11	A
USGS	05530990	2006-05-13	0.07	A
USGS	05530990	2006-05-14	0.13	A
USGS	05530990	2006-05-15	0.11	A
USGS	05530990	2006-05-16	0.00	A
USGS	05530990	2006-05-17	0.12	A
USGS	05530990	2006-05-18	0.01	A
USGS	05530990	2006-05-19	0.00	A
USGS	05530990	2006-05-20	0.00	A
USGS	05530990	2006-05-21	0.00	A
USGS	05530990	2006-05-22	0.00	A
USGS	05530990	2006-05-23	0.00	A
USGS	05530990	2006-05-24	0.52	A
USGS	05530990	2006-05-25	0.04	A
USGS	05530990	2006-05-26	0.00	A
USGS	05530990	2006-05-27	0.00	A
USGS	05530990	2006-05-28	0.00	A
USGS	05530990	2006-05-29	0.43	A
USGS	05530990	2006-05-30	0.14	A
USGS	05530990	2006-05-31	0.00	A
USGS	05530990	2006-06-01	0.00	A
USGS	05530990	2006-06-02	0.00	A
USGS	05530990	2006-06-03	0.00	A
USGS	05530990	2006-06-04	0.00	A
USGS	05530990	2006-06-05	0.00	A
USGS	05530990	2006-06-06	0.00	A
USGS	05530990	2006-06-07	0.00	A
USGS	05530990	2006-06-08	0.00	A
USGS	05530990	2006-06-09	0.04	A
USGS	05530990	2006-06-10	1.53	A
USGS	05530990	2006-06-11	0.04	A
USGS	05530990	2006-06-12	0.00	A
USGS	05530990	2006-06-13	0.00	A
USGS	05530990	2006-06-14	0.08	A
USGS	05530990	2006-06-15	0.00	A
USGS	05530990	2006-06-16	0.00	A
USGS	05530990	2006-06-17	0.00	A
USGS	05530990	2006-06-18	0.05	A
USGS	05530990	2006-06-19	0.00	A
USGS	05530990	2006-06-20	0.00	A
USGS	05530990	2006-06-21	0.13	A
USGS	05530990	2006-06-22	0.12	A
USGS	05530990	2006-06-23	0.00	A
USGS	05530990	2006-06-24	0.00	A
