#### USGS	414020088014601	RAIN GAGE AT DES PLAINES RIVER NEAR LEMONT, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	414020088014601	2011-03-26	0.00	P
USGS	414020088014601	2011-03-27	0.00	P
USGS	414020088014601	2011-03-28	0.00	P
USGS	414020088014601	2011-03-29	0.00	P
USGS	414020088014601	2011-03-30	0.00	P
USGS	414020088014601	2011-03-31	0.00	P
USGS	414020088014601	2011-04-01	0.18	P
USGS	414020088014601	2011-04-02	0.00	P
USGS	414020088014601	2011-04-03	0.04	P
USGS	414020088014601	2011-04-04	0.23	P
USGS	414020088014601	2011-04-05	0.00	P
USGS	414020088014601	2011-04-06	0.00	P
USGS	414020088014601	2011-04-07	0.21	P
USGS	414020088014601	2011-04-08	0.28	P
USGS	414020088014601	2011-04-09	0.00	P
USGS	414020088014601	2011-04-10	0.11	P
USGS	414020088014601	2011-04-11	0.00	P
USGS	414020088014601	2011-04-12	0.00	P
USGS	414020088014601	2011-04-13	0.00	P
USGS	414020088014601	2011-04-14	0.00	P
USGS	414020088014601	2011-04-15	0.01	P
USGS	414020088014601	2011-04-16	0.07	P
USGS	414020088014601	2011-04-17	0.09	P
USGS	414020088014601	2011-04-18	0.04	P
USGS	414020088014601	2011-04-19	0.24	P
USGS	414020088014601	2011-04-20	0.00	P
USGS	414020088014601	2011-04-21	0.04	P
USGS	414020088014601	2011-04-22	0.56	P
USGS	414020088014601	2011-04-23	0.00	P
USGS	414020088014601	2011-04-24	0.00	P
USGS	414020088014601	2011-04-25	0.08	P
USGS	414020088014601	2011-04-26	0.02	P
USGS	414020088014601	2011-04-27	0.19	P
USGS	414020088014601	2011-04-28	0.01	P
USGS	414020088014601	2011-04-29	0.00	P
USGS	414020088014601	2011-04-30	0.00	P
USGS	414020088014601	2011-05-01	0.00	P
USGS	414020088014601	2011-05-02	0.00	P
USGS	414020088014601	2011-05-03	0.01	P
USGS	414020088014601	2011-05-04	0.00	P
USGS	414020088014601	2011-05-05	0.19	P
USGS	414020088014601	2011-05-06	0.00	P
USGS	414020088014601	2011-05-07	0.02	P
USGS	414020088014601	2011-05-08	0.00	P
USGS	414020088014601	2011-05-09	0.00	P
USGS	414020088014601	2011-05-10	0.00	P
USGS	414020088014601	2011-05-11	0.37	P
USGS	414020088014601	2011-05-12	0.01	P
USGS	414020088014601	2011-05-13	0.05	P
USGS	414020088014601	2011-05-14	0.01	P
USGS	414020088014601	2011-05-15	0.00	P
USGS	414020088014601	2011-05-16	0.00	P
USGS	414020088014601	2011-05-17	0.00	P
USGS	414020088014601	2011-05-18	0.00	P
USGS	414020088014601	2011-05-19	0.00	P
USGS	414020088014601	2011-05-20	0.00	P
USGS	414020088014601	2011-05-21	0.07	P
USGS	414020088014601	2011-05-22	0.03	P
