#### USGS	414205088193801	RAIN GAGE AT WAUBONSEE CREEK NEAR OSWEGO, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	414205088193801	2012-09-21	0.02	P
USGS	414205088193801	2012-09-22	0.01	P
USGS	414205088193801	2012-09-23	0.00	P
USGS	414205088193801	2012-09-24	0.00	P
USGS	414205088193801	2012-09-25	0.00	P
USGS	414205088193801	2012-09-26		
USGS	414205088193801	2012-09-27	0.00	P
USGS	414205088193801	2012-09-28	0.00	P
USGS	414205088193801	2012-09-29	0.00	P
USGS	414205088193801	2012-09-30	0.00	P
