#### USGS	414411087575000	MARIENBROOK WWTF AT DARIEN, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	414411087575000	2002-02-01	0.08	A
USGS	414411087575000	2002-02-02	0.00	A
USGS	414411087575000	2002-02-03	0.00	A
USGS	414411087575000	2002-02-04	0.00	A
USGS	414411087575000	2002-02-05	0.00	A
USGS	414411087575000	2002-02-06	0.00	A
USGS	414411087575000	2002-02-07	0.00	A
USGS	414411087575000	2002-02-08	0.00	A
USGS	414411087575000	2002-02-09	0.00	A
USGS	414411087575000	2002-02-10	0.04	A
USGS	414411087575000	2002-02-11	0.00	A
USGS	414411087575000	2002-02-12	0.00	A
USGS	414411087575000	2002-02-13	0.00	A
USGS	414411087575000	2002-02-14	0.00	A
USGS	414411087575000	2002-02-15	0.00	A
USGS	414411087575000	2002-02-16	0.00	A
USGS	414411087575000	2002-02-17	0.00	A
USGS	414411087575000	2002-02-18	0.00	A
USGS	414411087575000	2002-02-19	0.37	A
USGS	414411087575000	2002-02-20	0.16	A
USGS	414411087575000	2002-02-21	0.00	A
USGS	414411087575000	2002-02-22	0.00	A
USGS	414411087575000	2002-02-23	0.01	A
USGS	414411087575000	2002-02-24	0.00	A
USGS	414411087575000	2002-02-25	0.00	A
USGS	414411087575000	2002-02-26	0.00	A
USGS	414411087575000	2002-02-27	0.02	A:e
USGS	414411087575000	2002-02-28	0.00	A
USGS	414411087575000	2002-03-01	0.00	A
USGS	414411087575000	2002-03-02	0.17	A
USGS	414411087575000	2002-03-03	0.00	A
USGS	414411087575000	2002-03-04	0.00	A
USGS	414411087575000	2002-03-05	0.02	A
USGS	414411087575000	2002-03-06	0.22	A
USGS	414411087575000	2002-03-07	0.00	A
USGS	414411087575000	2002-03-08	0.25	A
USGS	414411087575000	2002-03-09	0.29	A
USGS	414411087575000	2002-03-10	0.00	A
USGS	414411087575000	2002-03-11	0.00	A
USGS	414411087575000	2002-03-12	0.00	A
USGS	414411087575000	2002-03-13	0.00	A
USGS	414411087575000	2002-03-14	0.00	A
USGS	414411087575000	2002-03-15	0.04	A
USGS	414411087575000	2002-03-16	0.00	A
USGS	414411087575000	2002-03-17	0.00	A
USGS	414411087575000	2002-03-18	0.00	A
USGS	414411087575000	2002-03-19	0.02	A
USGS	414411087575000	2002-03-20	0.04	A
USGS	414411087575000	2002-03-21	0.00	A
USGS	414411087575000	2002-03-22	0.00	A
USGS	414411087575000	2002-03-23	0.00	A
USGS	414411087575000	2002-03-24	0.00	A
USGS	414411087575000	2002-03-25	0.02	A
USGS	414411087575000	2002-03-26	0.02	A
USGS	414411087575000	2002-03-27	0.00	A
USGS	414411087575000	2002-03-28	0.00	A
USGS	414411087575000	2002-03-29	0.39	A
USGS	414411087575000	2002-03-30	0.01	A
USGS	414411087575000	2002-03-31	0.02	A
USGS	414411087575000	2002-04-01	0.21	A
USGS	414411087575000	2002-04-02	0.20	A
USGS	414411087575000	2002-04-03	0.00	A
USGS	414411087575000	2002-04-04	0.00	A
USGS	414411087575000	2002-04-05	0.00	A
USGS	414411087575000	2002-04-06	0.00	A
USGS	414411087575000	2002-04-07	0.32	A
USGS	414411087575000	2002-04-08	0.95	A
USGS	414411087575000	2002-04-09	0.10	A
USGS	414411087575000	2002-04-10	0.00	A
USGS	414411087575000	2002-04-11	0.00	A
USGS	414411087575000	2002-04-12	0.04	A
USGS	414411087575000	2002-04-13	0.00	A
USGS	414411087575000	2002-04-14	0.00	A
USGS	414411087575000	2002-04-15	0.00	A
USGS	414411087575000	2002-04-16	0.00	A
USGS	414411087575000	2002-04-17	0.15	A
USGS	414411087575000	2002-04-18	0.00	A
USGS	414411087575000	2002-04-19	0.43	A
USGS	414411087575000	2002-04-20	0.29	A
USGS	414411087575000	2002-04-21	0.31	A
USGS	414411087575000	2002-04-22	0.00	A
USGS	414411087575000	2002-04-23	0.00	A
USGS	414411087575000	2002-04-24	0.35	A
USGS	414411087575000	2002-04-25	0.00	A
USGS	414411087575000	2002-04-26	0.00	A
USGS	414411087575000	2002-04-27	0.52	A
USGS	414411087575000	2002-04-28	0.03	A
USGS	414411087575000	2002-04-29	0.00	A
USGS	414411087575000	2002-04-30	0.00	A
USGS	414411087575000	2002-05-01	0.12	A
USGS	414411087575000	2002-05-02	0.03	A
USGS	414411087575000	2002-05-03	0.00	A
USGS	414411087575000	2002-05-04	0.00	A
USGS	414411087575000	2002-05-05	0.00	A
USGS	414411087575000	2002-05-06	0.22	A
