# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2014-04-02 12:28:10
# //FILE TYPE="NWIS-I DAILY-VALUES" EDITABLE=NO
# //DATABASE NUMBER=1 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="414158088095600" TIME_ZONE="CST" DST_FLAG=N
# //STATION NAME="SPRING BROOK WWTF NR NAPERVILE, IL"
# //LOCATION NUMBER=0 NAME="Default"
# //DD DDID="   2" RNDARY="2223455552" DVABORT=1440
# //DD LABEL="Precipitation (in)"
# //PARAMETER CODE="00045" SNAME = "Precipitation"
# //PARAMETER LNAME="Precipitation, total, inches"
# //STATISTIC CODE="00006" SNAME="SUM"
# //STATISTIC LNAME="SUMMATION VALUES"
# //TYPE NAME="FINAL" DESC = "EDITED AND COMPUTED DAILY VALUES"
# //AGING BEGIN=19970718 END=20050930 CODE=A
# //AGING   REVIEWED=20101013140646 RZONE=CST RUSER="jklatour"
# //AGING   APPROVED=20101013140704 AZONE=CST AUSER="jklatour"
# //AGING BEGIN=20051001 END=20060930 CODE=A
# //AGING   REVIEWED=20070309102020 RZONE=CST RUSER="jklatour"
# //AGING   APPROVED=20070309102041 AZONE=CST AUSER="jklatour"
# //RANGE START="20020201" END="20120930"
DATE	TIME	VALUE	PRECISION	REMARK	FLAGS	TYPE	QA
8D	6S	16N	1S	1S	32S	1S	1S
20020201		0.00	2	 		C	A
20020202		0.00	2	 		C	A
20020203		0.00	2	 		C	A
20020204		0.00	2	 		C	A
20020205		0.00	2	 		C	A
20020206		0.00	2	 		C	A
20020207		0.00	2	 		C	A
20020208		0.00	2	 		C	A
20020209		0.02	2	 		C	A
20020210		0.05	2	 		C	A
20020211		0.00	2	 		C	A
20020212		0.00	2	 		C	A
20020213		0.00	2	 		C	A
20020214		0.00	2	 		C	A
20020215		0.00	2	 		C	A
20020216		0.00	2	 		C	A
20020217		0.00	2	 		C	A
20020218		0.00	2	 		C	A
20020219		0.49	2	 		C	A
20020220		0.21	2	 		C	A
20020221		0.01	2	 		C	A
20020222		0.00	2	 		C	A
20020223		0.00	2	 		C	A
20020224		0.00	2	 		C	A
20020225		0.00	2	 		C	A
20020226		0.07	2	 		C	A
20020227		0.00	2	 		C	A
20020228		0.00	2	 		C	A
20020301		0.10	2	 		C	A
20020302		0.75	2	 		C	A
20020303		0.02	2	 		C	A
20020304		0.00	2	 		C	A
20020305		0.00	2	 		C	A
20020306		0.00	2	 		C	A
20020307		0.00	2	 		C	A
20020308		0.30	2	 		C	A
20020309		0.46	2	 		C	A
20020310		0.00	2	 		C	A
20020311		0.00	2	 		C	A
20020312		0.00	2	 		C	A
20020313		0.00	2	 		C	A
20020314		0.00	2	 		C	A
20020315		0.04	2	 		C	A
20020316		0.00	2	 		C	A
20020317		0.00	2	 		C	A
20020318		0.00	2	 		C	A
20020319		0.02	2	 		C	A
20020320		0.03	2	 		C	A
20020321		0.02	2	 		C	A
20020322		0.00	2	 		C	A
20020323		0.00	2	 		C	A
20020324		0.00	2	 		C	A
20020325		0.09	2	 		C	A
20020326		0.07	2	 		C	A
20020327		0.00	2	 		C	A
20020328		0.00	2	 		C	A
20020329		0.42	2	 		C	A
20020330		0.00	2	 		C	A
20020331		0.05	2	 		C	A
20020401		0.23	2	 		C	A
20020402		0.15	2	 		C	A
20020403		0.00	2	 		C	A
20020404		0.00	2	 		C	A
20020405		0.00	2	 		C	A
20020406		0.00	2	 		C	A
20020407		0.43	2	 		C	A
20020408		0.94	2	 		C	A
20020409		0.08	2	 		C	A
20020410		0.00	2	1		E	A
20020411		0.00	2	1		E	A
20020412		0.15	2	 		C	A
20020413		0.00	2	 		C	A
20020414		0.00	2	 		C	A
20020415		0.00	2	 		C	A
20020416		0.00	2	 		C	A
20020417		0.06	2	 		C	A
20020418		0.00	2	 		C	A
20020419		0.52	2	 		C	A
20020420		0.29	2	 		C	A
20020421		0.24	2	 		C	A
20020422		0.01	2	 		C	A
20020423		0.00	2	 		C	A
20020424		0.34	2	 		C	A
20020425		0.00	2	 		C	A
20020426		0.00	2	 		C	A
20020427		0.68	2	 		C	A
20020428		0.03	2	 		C	A
20020429		0.00	2	 		C	A
20020430		0.00	2	 		C	A
20020501		0.13	2	 		C	A
20020502		0.02	2	 		C	A
20020503		0.00	2	 		C	A
20020504		0.00	2	 		C	A
20020505		0.00	2	 		C	A
20020506		0.15	2	 		C	A
20020507		0.00	2	 		C	A
20020508		0.01	2	 		C	A
20020509		0.27	2	 		C	A
20020510		0.00	2	 		C	A
20020511		2.78	3	 		C	A
20020512		0.18	2	 		C	A
20020513		0.00	2	 		C	A
20020514		0.00	2	 		C	A
20020515		0.00	2	 		C	A
20020516		0.60	2	 		C	A
20020517		0.00	2	 		C	A
20020518		0.00	2	 		C	A
20020519		0.00	2	 		C	A
20020520		0.00	2	 		C	A
20020521		0.00	2	 		C	A
20020522		0.00	2	 		C	A
20020523		0.01	2	 		C	A
20020524		0.11	2	 		C	A
20020525		0.13	2	 		C	A
20020526		0.00	2	 		C	A
20020527		0.00	2	 		C	A
20020528		0.00	2	 		C	A
20020529		0.00	2	 		C	A
20020530		0.00	2	 		C	A
20020531		0.00	2	 		C	A
20020601		0.00	2	 		C	A
20020602		0.00	2	 		C	A
20020603		0.08	2	 		C	A
20020604		1.34	3	 		C	A
20020605		0.00	2	 		C	A
20020606		0.00	2	 		C	A
20020607		0.00	2	 		C	A
20020608		0.00	2	 		C	A
20020609		0.00	2	 		C	A
20020610		0.40	2	 		C	A
20020611		0.07	2	 		C	A
20020612		0.00	2	 		C	A
20020613		0.14	2	 		C	A
20020614		0.21	2	 		C	A
20020615		0.00	2	 		C	A
20020616		0.00	2	 		C	A
20020617		0.00	2	 		C	A
20020618		0.00	2	 		C	A
20020619		0.00	2	 		C	A
20020620		0.00	2	 		C	A
20020621		0.00	2	 		C	A
20020622		0.00	2	 		C	A
20020623		0.00	2	 		C	A
20020624		0.00	2	 		C	A
20020625		0.50	2	 		C	A
20020626		0.00	2	 		C	A
20020627		0.01	2	 		C	A
20020628		0.00	2	 		C	A
20020629		0.00	2	 		C	A
20020630		0.00	2	 		C	A
20020701		0.00	2	 		C	A
20020702		0.00	2	 		C	A
20020703		0.00	2	 		C	A
20020704		1.45	3	 		C	A
20020705		0.00	2	 		C	A
20020706		0.00	2	 		C	A
20020707		0.00	2	 		C	A
20020708		0.02	2	 		C	A
20020709		1.29	3	 		C	A
20020710		0.00	2	 		C	A
20020711		0.00	2	 		C	A
20020712		0.00	2	 		C	A
20020713		0.00	2	 		C	A
20020714		0.00	2	 		C	A
20020715		0.00	2	 		C	A
20020716		0.00	2	 		C	A
20020717		0.00	2	 		C	A
20020718		0.15	2	 		C	A
20020719		0.00	2	 		C	A
20020720		0.00	2	 		C	A
20020721		0.00	2	 		C	A
20020722		0.00	2	 		C	A
20020723		0.00	2	 		C	A
20020724		0.00	2	 		C	A
20020725		0.00	2	 		C	A
20020726		0.00	2	 		C	A
20020727		0.33	2	 		C	A
20020728		0.00	2	 		C	A
20020729		0.24	2	 		C	A
20020730		0.00	2	 		C	A
20020731		0.00	2	 		C	A
20020801		0.00	2	 		C	A
20020802		0.11	2	 		C	A
20020803		0.00	2	 		C	A
20020804		0.74	2	 		C	A
20020805		0.08	2	 		C	A
20020806		0.00	2	 		C	A
20020807		0.00	2	 		C	A
20020808		0.00	2	 		C	A
20020809		0.00	2	 		C	A
20020810		0.00	2	 		C	A
20020811		0.00	2	 		C	A
20020812		0.38	2	 		C	A
20020813		0.40	2	 		C	A
20020814		0.00	2	 		C	A
20020815		0.00	2	 		C	A
20020816		0.00	2	 		C	A
20020817		0.00	2	 		C	A
20020818		0.00	2	 		C	A
20020819		0.18	2	 		C	A
20020820		0.00	2	 		C	A
20020821		0.00	2	 		C	A
20020822		1.53	3	 		C	A
20020823		1.92	3	 		C	A
20020824		0.00	2	 		C	A
20020825		0.00	2	 		C	A
20020826		0.00	2	 		C	A
20020827		0.00	2	 		C	A
20020828		0.00	2	 		C	A
20020829		0.00	2	 		C	A
20020830		0.00	2	 		C	A
20020831		0.00	2	 		C	A
20020901		0.00	2	 		C	A
20020902		0.05	2	 		C	A
20020903		0.00	2	 		C	A
20020904		0.00	2	 		C	A
20020905		0.00	2	 		C	A
20020906		0.00	2	 		C	A
20020907		0.00	2	 		C	A
20020908		0.00	2	 		C	A
20020909		0.00	2	 		C	A
20020910		0.03	2	 		C	A
20020911		0.00	2	 		C	A
20020912		0.00	2	 		C	A
20020913		0.00	2	 		C	A
20020914		0.00	2	 		C	A
20020915		0.00	2	 		C	A
20020916		0.00	2	 		C	A
20020917		0.00	2	 		C	A
20020918		0.10	2	 		C	A
20020919		0.04	2	 		C	A
20020920		0.37	2	 		C	A
20020921		0.00	2	 		C	A
20020922		0.12	2	 		C	A
20020923		0.00	2	 		C	A
20020924		0.00	2	 		C	A
20020925		0.00	2	 		C	A
20020926		0.00	2	 		C	A
20020927		0.00	2	 		C	A
20020928		0.00	2	 		C	A
20020929		0.14	2	 		C	A
20020930		0.00	2	 		C	A
20021001		0.00	2	 		C	A
20021002		0.12	2	 		C	A
20021003		0.00	2	 		C	A
20021004		0.59	2	 		C	A
20021005		0.00	2	 		C	A
20021006		0.00	2	 		C	A
20021007		0.00	2	 		C	A
20021008		0.00	2	 		C	A
20021009		0.00	2	 		C	A
20021010		0.00	2	 		C	A
20021011		0.00	2	 		C	A
20021012		0.11	2	 		C	A
20021013		0.00	2	 		C	A
20021014		0.00	2	 		C	A
20021015		0.00	2	 		C	A
20021016		0.00	2	 		C	A
20021017		0.07	2	e		E	A
20021018		0.00	2	 		C	A
20021019		0.00	2	 		C	A
20021020		0.00	2	 		C	A
20021021		0.00	2	 		C	A
20021022		0.00	2	 		C	A
20021023		0.00	2	 		C	A
20021024		0.04	2	e		E	A
20021025		0.27	2	e		E	A
20021026		0.00	2	 		C	A
20021027		0.00	2	 		C	A
20021028		0.00	2	 		C	A
20021029		0.17	2	e		E	A
20021030		0.00	2	 		C	A
20021031		0.00	2	 		C	A
20021101		0.00	2	 		C	A
20021102		0.00	2	 		C	A
20021103		0.00	2	 		C	A
20021104		0.00	2	 		C	A
20021105		0.20	2	e		E	A
20021106		0.00	2	 		C	A
20021107		0.00	2	 		C	A
20021108		0.00	2	 		C	A
20021109		0.04	2	 		C	A
20021110		0.00	2	 		C	A
20021111		0.00	2	 		C	A
20021112		0.00	2	 		C	A
20021113		0.00	2	 		C	A
20021114		0.19	2	 		C	A
20021115		0.00	2	 		C	A
20021116		0.00	2	 		C	A
