# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2014-04-02 12:26:51
# //FILE TYPE="NWIS-I DAILY-VALUES" EDITABLE=NO
# //DATABASE NUMBER=1 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="415751087591000" TIME_ZONE="CST" DST_FLAG=N
# //STATION NAME="WOOD DALE WWTF AT WOOD DALE, IL"
# //LOCATION NUMBER=0 NAME="Default"
# //DD DDID="   3" RNDARY="2223455552" DVABORT=120
# //DD LABEL="Precipitation (in)"
# //PARAMETER CODE="00045" SNAME = "Precipitation"
# //PARAMETER LNAME="Precipitation, total, inches"
# //STATISTIC CODE="00006" SNAME="SUM"
# //STATISTIC LNAME="SUMMATION VALUES"
# //TYPE NAME="FINAL" DESC = "EDITED AND COMPUTED DAILY VALUES"
# //AGING BEGIN=19970718 END=20050930 CODE=A
# //AGING   REVIEWED=20100915080742 RZONE=CST RUSER="jklatour"
# //AGING   APPROVED=20100915080813 AZONE=CST AUSER="jklatour"
# //AGING BEGIN=20051001 END=20060930 CODE=A
# //AGING   REVIEWED=20070312131427 RZONE=CST RUSER="eaweldon"
# //AGING   APPROVED=20070312131438 AZONE=CST AUSER="eaweldon"
# //AGING BEGIN=20061001 END=20070930 CODE=A
# //AGING   REVIEWED=20080428102457 RZONE=CST RUSER="eaweldon"
# //AGING   APPROVED=20080428102506 AZONE=CST AUSER="eaweldon"
# //AGING BEGIN=20071001 END=20080930 CODE=A
# //AGING   REVIEWED=20090604130029 RZONE=CST RUSER="eaweldon"
# //AGING   APPROVED=20090604130038 AZONE=CST AUSER="eaweldon"
# //AGING BEGIN=20081001 END=20090930 CODE=A
# //AGING   REVIEWED=20100727125622 RZONE=CST RUSER="eaweldon"
# //AGING   APPROVED=20100727125631 AZONE=CST AUSER="eaweldon"
# //AGING BEGIN=20091001 END=20100930 CODE=A
# //AGING   REVIEWED=20110908145125 RZONE=CST RUSER="lmcann"
# //AGING   APPROVED=20110908145131 AZONE=CST AUSER="lmcann"
# //AGING BEGIN=20101001 END=20110930 CODE=A
# //AGING   REVIEWED=20120202132628 RZONE=CST RUSER="lmcann"
# //AGING   APPROVED=20120202132707 AZONE=CST AUSER="lmcann"
# //AGING BEGIN=20111001 END=20111108 CODE=A
# //AGING   REVIEWED=20120202133736 RZONE=CST RUSER="lmcann"
# //AGING   APPROVED=20120202133823 AZONE=CST AUSER="lmcann"
# //AGING BEGIN=20111109 END=20120930 CODE=A
# //AGING   REVIEWED=20130607113346 RZONE=CST RUSER="agahala"
# //AGING   APPROVED=20130624141413 AZONE=CST AUSER="lmcann"
# //RANGE START="20020201" END="20120930"
DATE	TIME	VALUE	PRECISION	REMARK	FLAGS	TYPE	QA
8D	6S	16N	1S	1S	32S	1S	1S
20020201		0.16	2	 		C	A
20020202		0.02	2	 		C	A
20020203		0.00	2	 		C	A
20020204		0.00	2	 		C	A
20020205		0.00	2	 		C	A
20020206		0.00	2	 		C	A
20020207		0.00	2	 		C	A
20020208		0.00	2	 		C	A
20020209		0.00	2	 		C	A
20020210		0.07	2	 		C	A
20020211		0.00	2	 		C	A
20020212		0.00	2	 		C	A
20020213		0.00	2	 		C	A
20020214		0.00	2	 		C	A
20020215		0.00	2	 		C	A
20020216		0.00	2	 		C	A
20020217		0.00	2	 		C	A
20020218		0.00	2	 		C	A
20020219		0.34	2	 		C	A
20020220		0.31	2	 		C	A
20020221		0.02	2	 		C	A
20020222		0.00	2	 		C	A
20020223		0.00	2	 		C	A
20020224		0.00	2	 		C	A
20020225		0.00	2	 		C	A
20020226		0.00	2	 		C	A
20020227		0.02	2	 		C	A
20020228		0.00	2	 		C	A
20020301		0.00	2	 		C	A
20020302		0.24	2	 		C	A
20020303		0.00	2	 		C	A
20020304		0.00	2	 		C	A
20020305		0.02	2	 		C	A
20020306		0.41	2	 		C	A
20020307		0.00	2	 		C	A
20020308		0.24	2	 		C	A
20020309		0.66	2	 		C	A
20020310		0.00	2	 		C	A
20020311		0.00	2	 		C	A
20020312		0.00	2	 		C	A
20020313		0.00	2	 		C	A
20020314		0.00	2	 		C	A
20020315		0.00	2	 		C	A
20020316		0.00	2	 		C	A
20020317		0.00	2	 		C	A
20020318		0.00	2	 		C	A
20020319		0.00	2	 		C	A
20020320		0.02	2	 		C	A
20020321		0.00	2	 		C	A
20020322		0.00	2	 		C	A
20020323		0.00	2	 		C	A
20020324		0.00	2	 		C	A
20020325		0.00	2	 		C	A
20020326		0.03	2	 		C	A
20020327		0.00	2	 		C	A
20020328		0.00	2	 		C	A
20020329		0.55	2	 		C	A
20020330		0.00	2	 		C	A
20020331		0.00	2	 		C	A
20020401		0.28	2	 		C	A
20020402		0.02	2	 		C	A
20020403		0.00	2	 		C	A
20020404		0.00	2	 		C	A
20020405		0.00	2	 		C	A
20020406		0.00	2	 		C	A
20020407		0.31	2	 		C	A
20020408		0.87	2	 		C	A
20020409		0.03	2	 		C	A
20020410		0.00	2	 		C	A
20020411		0.00	2	 		C	A
20020412		0.00	2	 		C	A
20020413		0.00	2	 		C	A
20020414		0.00	2	 		C	A
20020415		0.00	2	 		C	A
20020416		0.00	2	 		C	A
20020417		0.06	2	 		C	A
20020418		0.00	2	 		C	A
20020419		0.27	2	 		C	A
20020420		0.04	2	 		C	A
20020421		0.40	2	 		C	A
20020422		0.00	2	 		C	A
20020423		0.00	2	 		C	A
20020424		0.28	2	 		C	A
20020425		0.00	2	 		C	A
20020426		0.00	2	 		C	A
20020427		0.58	2	 		C	A
20020428		0.00	2	 		C	A
20020429		0.00	2	 		C	A
20020430		0.00	2	 		C	A
20020501		0.25	2	 		C	A
20020502		0.00	2	 		C	A
