#
#
# US Geological Survey
# retrieved: 2014-03-25 11:00:06 EDT
# URL: http://nwis.waterdata.usgs.gov/nwis/dv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2014-03-25 11:00:06 EDT
#
# there are 43 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
5s	15s	50s	16n	16n	1s	10s
USGS	05530990	SALT CREEK AT ROLLING MEADOWS, IL	42.06055556	-88.01666670	S	NAD83
USGS	05531300	SALT CREEK AT ELMHURST, IL	41.88614110	-87.95923090	S	NAD83
USGS	05531410	SALT CREEK AT 22ND STREET AT OAK BROOK, IL	41.84750000	-87.93666670	S	NAD83
USGS	05533400	SAWMILL CREEK NEAR LEMONT, IL	41.70777778	-87.96277780	S	NAD83
USGS	05540060	KRESS CREEK AT WEST CHICAGO, IL	41.85638889	-88.20388889	S	NAD83
USGS	05540130	WEST BRANCH DU PAGE RIVER NEAR NAPERVILLE, IL	41.72055556	-88.13194440	S	NAD83
USGS	05540195	ST. JOSEPH CREEK AT ROUTE 34 AT LISLE, IL	41.80194444	-88.06888889	S	NAD83
USGS	05540200	ST. JOSEPH CREEK AT LISLE, IL	41.80252988	-88.07784320	U	NAD83
USGS	05540250	EAST BRANCH DU PAGE RIVER AT BOLINGBROOK, IL	41.71805556	-88.07055560	S	NAD83
USGS	05540290	DU PAGE RIVER NEAR PLAINFIELD, IL	41.69000000	-88.16638889	S	NAD83
USGS	05550300	TYLER CREEK AT ELGIN, IL	42.05833330	-88.30388889	S	NAD83
USGS	414020088014601	RAIN GAGE AT DES PLAINES RIVER NEAR LEMONT, IL	41.67222220	-88.02944440	S	NAD83
USGS	414205088193801	RAIN GAGE AT WAUBONSEE CREEK NEAR OSWEGO, IL	41.70138889	-88.32722220	S	NAD83
USGS	414306088042100	BOLINGBROOK WWTF AT BOLINGBROOK, IL	41.71836379	-88.07256280	S	NAD83
USGS	414411087575000	MARIENBROOK WWTF AT DARIEN, IL	41.73641997	-87.96394870	S	NAD83
USGS	414430088035600	WOODRIDGE WWTF AT WOODRIDGE, IL	41.74169709	-88.06561870	S	NAD83
USGS	414552087585600	CLARENDON HILLS CEMETARY AT DARIEN IL	41.76447520	-87.98228340	U	NAD83
USGS	414613088091000	NAPERVILLE MUNICIPAL BUILDING AT NAPERVILLE, IL	41.77030750	-88.15284450	S	NAD83
USGS	414652088133800	NAPERVILLE TOWNSHIP HWY DIVISION AT NAPERVILLE, IL	41.78114030	-88.23312520	S	NAD83
USGS	414702088104801	RAIN GAGE AT NAPERVILLE, IL	41.78388889	-88.18000000	S	NAD83
USGS	414747087582700	WESTMONT WATER DEPARTMENT AT WESTMONT, IL	41.79641947	-87.97422860	S	NAD83
USGS	414826088044501	RAIN GAGE AT LISLE, IL	41.80722220	-88.07916670	S	NAD83
