#### MOUNT PROSPECT 3.0 NE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0042	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-03-28	74	0	-9999	0.29
COCORAHS	US1ILCK0042	2007-03-29	18	0	-9999	0.07
COCORAHS	US1ILCK0042	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-03-31	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-01	84	0	-9999	0.33
COCORAHS	US1ILCK0042	2007-04-02	30	0	-9999	0.12
COCORAHS	US1ILCK0042	2007-04-03	3	0	-9999	0.01
COCORAHS	US1ILCK0042	2007-04-04	15	0	-9999	0.06
COCORAHS	US1ILCK0042	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-13	338	0	-9999	1.33
COCORAHS	US1ILCK0042	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILCK0042	2007-04-25	180	0	-9999	0.71
COCORAHS	US1ILCK0042	2007-04-26	74	0	-9999	0.29
