#### DES PLAINES 0.5 NW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0046	2007-02-20	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-02-21	0	0	0	0.0
COCORAHS	US1ILCK0046	2007-02-22	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-02-23	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-02-24	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-02-25	267	51	-9999	1.05
COCORAHS	US1ILCK0046	2007-02-26	81	38	-9999	0.32
COCORAHS	US1ILCK0046	2007-02-27	5	3	-9999	0.02
COCORAHS	US1ILCK0046	2007-02-28	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-01	185	0	-9999	0.73
COCORAHS	US1ILCK0046	2007-03-02	99	13	-9999	0.39
COCORAHS	US1ILCK0046	2007-03-03	13	51	-9999	0.05
COCORAHS	US1ILCK0046	2007-03-04	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-05	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-06	0	3	0	0.0
COCORAHS	US1ILCK0046	2007-03-07	28	41	28	0.11
COCORAHS	US1ILCK0046	2007-03-08	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-10	71	0	-9999	0.28
COCORAHS	US1ILCK0046	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-12	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-13	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-15	28	0	-9999	0.11
COCORAHS	US1ILCK0046	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-19	8	0	-9999	0.03
COCORAHS	US1ILCK0046	2007-03-20	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-21	114	0	-9999	0.45
COCORAHS	US1ILCK0046	2007-03-22	198	0	-9999	0.78
COCORAHS	US1ILCK0046	2007-03-23	5	0	-9999	0.02
COCORAHS	US1ILCK0046	2007-03-24	20	0	-9999	0.08
COCORAHS	US1ILCK0046	2007-03-25	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-28	36	0	-9999	0.14
COCORAHS	US1ILCK0046	2007-03-29	28	0	-9999	0.11
COCORAHS	US1ILCK0046	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-03-31	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-01	102	0	-9999	0.4
COCORAHS	US1ILCK0046	2007-04-02	46	0	-9999	0.18
COCORAHS	US1ILCK0046	2007-04-03	3	0	-9999	0.01
COCORAHS	US1ILCK0046	2007-04-04	61	0	-9999	0.24
COCORAHS	US1ILCK0046	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-11	152	38	-9999	0.6
COCORAHS	US1ILCK0046	2007-04-12	259	51	-9999	1.02
COCORAHS	US1ILCK0046	2007-04-13	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-25	333	0	-9999	1.31
COCORAHS	US1ILCK0046	2007-04-26	132	0	-9999	0.52
COCORAHS	US1ILCK0046	2007-04-27	36	0	-9999	0.14
COCORAHS	US1ILCK0046	2007-04-28	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-04-30	69	0	-9999	0.27
COCORAHS	US1ILCK0046	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-03	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-06	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-09	25	0	-9999	0.1
COCORAHS	US1ILCK0046	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-16	206	0	-9999	0.81
COCORAHS	US1ILCK0046	2007-05-17	66	0	-9999	0.26
COCORAHS	US1ILCK0046	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-21	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-25	8	0	-9999	0.03
COCORAHS	US1ILCK0046	2007-05-26	178	0	-9999	0.7
COCORAHS	US1ILCK0046	2007-05-27	91	0	-9999	0.36
COCORAHS	US1ILCK0046	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILCK0046	2007-05-30	0	0	-9999	0.0
