#### STREAMWOOD 1.1 SW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0058	2007-02-16	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-17	-9999	38	-9999	-9999
COCORAHS	US1ILCK0058	2007-02-18	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-19	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-20	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-21	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-22	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-23	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-24	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-02-25	312	79	312	1.23
COCORAHS	US1ILCK0058	2007-02-26	25	18	15	0.1
COCORAHS	US1ILCK0058	2007-02-27	8	13	8	0.03
COCORAHS	US1ILCK0058	2007-02-28	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-01	117	0	0	0.46
COCORAHS	US1ILCK0058	2007-03-02	94	13	10	0.37
COCORAHS	US1ILCK0058	2007-03-03	36	64	36	0.14
COCORAHS	US1ILCK0058	2007-03-04	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-05	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-06	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-07	13	13	13	0.05
COCORAHS	US1ILCK0058	2007-03-08	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-09	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-10	89	0	0	0.35
COCORAHS	US1ILCK0058	2007-03-11	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-12	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-13	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-14	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-15	25	0	0	0.1
COCORAHS	US1ILCK0058	2007-03-16	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-17	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-18	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-19	18	0	0	0.07
COCORAHS	US1ILCK0058	2007-03-20	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-21	119	0	0	0.47
COCORAHS	US1ILCK0058	2007-03-22	229	0	0	0.9
COCORAHS	US1ILCK0058	2007-03-23	18	0	0	0.07
COCORAHS	US1ILCK0058	2007-03-24	25	0	0	0.1
COCORAHS	US1ILCK0058	2007-03-25	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-26	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-27	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-28	33	0	0	0.13
COCORAHS	US1ILCK0058	2007-03-29	25	0	0	0.1
COCORAHS	US1ILCK0058	2007-03-30	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-03-31	8	0	0	0.03
COCORAHS	US1ILCK0058	2007-04-01	160	0	0	0.63
COCORAHS	US1ILCK0058	2007-04-02	38	0	0	0.15
COCORAHS	US1ILCK0058	2007-04-03	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-04	33	0	0	0.13
COCORAHS	US1ILCK0058	2007-04-05	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-06	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-07	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-08	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-09	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-10	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-04-11	69	69	69	0.27
COCORAHS	US1ILCK0058	2007-04-12	254	84	246	1.0
COCORAHS	US1ILCK0058	2007-05-01	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-02	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-03	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-04	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-05	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-06	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-07	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-08	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-09	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-10	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-11	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-12	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-13	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-14	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-15	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-16	102	0	0	0.4
COCORAHS	US1ILCK0058	2007-05-17	13	0	0	0.05
COCORAHS	US1ILCK0058	2007-05-18	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-19	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-20	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-21	25	0	0	0.1
COCORAHS	US1ILCK0058	2007-05-22	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-23	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-24	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-25	38	0	0	0.15
COCORAHS	US1ILCK0058	2007-05-26	145	0	0	0.57
COCORAHS	US1ILCK0058	2007-05-27	140	0	0	0.55
COCORAHS	US1ILCK0058	2007-05-28	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-29	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-30	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-05-31	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-01	43	0	0	0.17
COCORAHS	US1ILCK0058	2007-06-02	69	0	0	0.27
COCORAHS	US1ILCK0058	2007-06-03	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-04	33	0	0	0.13
COCORAHS	US1ILCK0058	2007-06-05	259	0	0	1.02
COCORAHS	US1ILCK0058	2007-06-06	25	0	0	0.1
COCORAHS	US1ILCK0058	2007-06-07	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-08	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-09	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-10	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-11	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-12	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-13	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-14	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-15	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-16	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-17	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-18	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-19	104	0	0	0.41
COCORAHS	US1ILCK0058	2007-06-20	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-21	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-22	8	0	0	0.03
COCORAHS	US1ILCK0058	2007-06-23	18	0	0	0.07
COCORAHS	US1ILCK0058	2007-06-24	58	0	0	0.23
COCORAHS	US1ILCK0058	2007-06-25	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-26	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-27	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-28	33	0	0	0.13
COCORAHS	US1ILCK0058	2007-06-29	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-06-30	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-01	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-02	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-03	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-04	292	0	0	1.15
COCORAHS	US1ILCK0058	2007-07-05	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-06	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-07	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-08	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-09	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-10	135	0	0	0.53
COCORAHS	US1ILCK0058	2007-07-11	25	0	0	0.1
COCORAHS	US1ILCK0058	2007-07-12	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-13	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-14	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-15	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-16	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-21	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-22	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-23	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-24	0	0	0	0.0
COCORAHS	US1ILCK0058	2007-07-25	0	0	0	0.0
