#### ELK GROVE VILLAGE 0.6 ESE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0063	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-03-28	53	0	-9999	0.21
COCORAHS	US1ILCK0063	2007-03-29	41	0	-9999	0.16
COCORAHS	US1ILCK0063	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-03-31	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-01	178	0	-9999	0.7
COCORAHS	US1ILCK0063	2007-04-02	43	0	-9999	0.17
COCORAHS	US1ILCK0063	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-04	41	0	-9999	0.16
COCORAHS	US1ILCK0063	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-11	38	0	-9999	0.15
COCORAHS	US1ILCK0063	2007-04-12	290	0	-9999	1.14
COCORAHS	US1ILCK0063	2007-04-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-25	277	0	-9999	1.09
COCORAHS	US1ILCK0063	2007-04-26	117	0	-9999	0.46
COCORAHS	US1ILCK0063	2007-04-27	36	0	-9999	0.14
COCORAHS	US1ILCK0063	2007-04-28	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-04-30	38	0	-9999	0.15
COCORAHS	US1ILCK0063	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-03	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-09	15	0	-9999	0.06
COCORAHS	US1ILCK0063	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-16	191	0	-9999	0.75
COCORAHS	US1ILCK0063	2007-05-17	25	0	-9999	0.1
COCORAHS	US1ILCK0063	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-21	33	0	-9999	0.13
COCORAHS	US1ILCK0063	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-25	10	0	-9999	0.04
COCORAHS	US1ILCK0063	2007-05-26	183	0	-9999	0.72
COCORAHS	US1ILCK0063	2007-05-27	94	0	-9999	0.37
COCORAHS	US1ILCK0063	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-30	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-01	3	0	-9999	0.01
COCORAHS	US1ILCK0063	2007-06-02	137	0	-9999	0.54
COCORAHS	US1ILCK0063	2007-06-03	3	0	-9999	0.01
COCORAHS	US1ILCK0063	2007-06-04	13	0	-9999	0.05
COCORAHS	US1ILCK0063	2007-06-05	246	0	-9999	0.97
COCORAHS	US1ILCK0063	2007-06-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-07	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-08	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-09	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-11	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-14	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-16	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-17	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-18	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-19	231	0	-9999	0.91
COCORAHS	US1ILCK0063	2007-06-20	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-21	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-22	5	0	-9999	0.02
COCORAHS	US1ILCK0063	2007-06-23	5	0	-9999	0.02
COCORAHS	US1ILCK0063	2007-06-24	30	0	-9999	0.12
COCORAHS	US1ILCK0063	2007-06-25	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-26	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-27	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-28	71	0	-9999	0.28
COCORAHS	US1ILCK0063	2007-06-29	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-06-30	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-01	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-04	147	0	-9999	0.58
COCORAHS	US1ILCK0063	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-07	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-08	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-10	109	0	-9999	0.43
COCORAHS	US1ILCK0063	2007-07-11	18	0	-9999	0.07
COCORAHS	US1ILCK0063	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-14	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-15	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-16	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-17	97	0	-9999	0.38
COCORAHS	US1ILCK0063	2007-07-18	33	0	-9999	0.13
COCORAHS	US1ILCK0063	2007-07-19	315	0	-9999	1.24
COCORAHS	US1ILCK0063	2007-07-20	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-21	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-22	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-26	10	0	-9999	0.04
COCORAHS	US1ILCK0063	2007-07-27	36	0	-9999	0.14
COCORAHS	US1ILCK0063	2007-07-28	38	0	-9999	0.15
COCORAHS	US1ILCK0063	2007-07-29	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-30	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-07-31	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-01	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-02	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-03	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-04	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-05	333	0	-9999	1.31
COCORAHS	US1ILCK0063	2007-08-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-07	414	0	-9999	1.63
COCORAHS	US1ILCK0063	2007-08-08	8	0	-9999	0.03
COCORAHS	US1ILCK0063	2007-08-09	46	0	-9999	0.18
COCORAHS	US1ILCK0063	2007-08-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-11	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-12	76	0	-9999	0.3
COCORAHS	US1ILCK0063	2007-08-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-14	114	0	-9999	0.45
COCORAHS	US1ILCK0063	2007-08-15	5	0	-9999	0.02
COCORAHS	US1ILCK0063	2007-08-16	61	0	-9999	0.24
COCORAHS	US1ILCK0063	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-18	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-19	216	0	-9999	0.85
COCORAHS	US1ILCK0063	2007-08-20	607	0	-9999	2.39
COCORAHS	US1ILCK0063	2007-08-21	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-22	20	0	-9999	0.08
COCORAHS	US1ILCK0063	2007-08-23	198	0	-9999	0.78
COCORAHS	US1ILCK0063	2007-08-24	709	0	-9999	2.79
COCORAHS	US1ILCK0063	2007-08-25	53	0	-9999	0.21
COCORAHS	US1ILCK0063	2007-08-26	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-27	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-28	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-29	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-30	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-08-31	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-01	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-02	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-04	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-05	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-06	5	0	-9999	0.02
COCORAHS	US1ILCK0063	2007-09-07	107	0	-9999	0.42
COCORAHS	US1ILCK0063	2007-09-08	53	0	-9999	0.21
COCORAHS	US1ILCK0063	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-11	99	0	-9999	0.39
COCORAHS	US1ILCK0063	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-14	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-15	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-16	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-17	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-18	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-19	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-20	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-21	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-22	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-23	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-24	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-25	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-26	71	0	-9999	0.28
COCORAHS	US1ILCK0063	2007-09-27	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-28	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-09-29	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-01	84	0	-9999	0.33
COCORAHS	US1ILCK0063	2007-10-02	18	0	-9999	0.07
COCORAHS	US1ILCK0063	2007-10-03	20	0	-9999	0.08
COCORAHS	US1ILCK0063	2007-10-04	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-05	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-07	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-08	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-09	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-11	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-12	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-14	8	0	-9999	0.03
COCORAHS	US1ILCK0063	2007-10-15	38	0	-9999	0.15
COCORAHS	US1ILCK0063	2007-10-16	89	0	-9999	0.35
COCORAHS	US1ILCK0063	2007-10-17	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-18	89	0	-9999	0.35
COCORAHS	US1ILCK0063	2007-10-19	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-20	8	0	-9999	0.03
COCORAHS	US1ILCK0063	2007-10-21	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-22	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-23	33	0	-9999	0.13
COCORAHS	US1ILCK0063	2007-10-24	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-25	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-26	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-27	86	0	-9999	0.34
COCORAHS	US1ILCK0063	2007-10-28	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-29	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-30	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-10-31	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-01	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-02	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-03	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-04	3	0	-9999	0.01
COCORAHS	US1ILCK0063	2007-11-05	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-06	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-07	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-08	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-09	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-10	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-11	38	0	-9999	0.15
COCORAHS	US1ILCK0063	2007-11-12	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-13	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-14	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-15	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-16	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-17	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-18	13	0	-9999	0.05
COCORAHS	US1ILCK0063	2007-11-19	3	0	-9999	0.01
COCORAHS	US1ILCK0063	2007-11-20	3	0	-9999	0.01
COCORAHS	US1ILCK0063	2007-11-21	142	0	-9999	0.56
COCORAHS	US1ILCK0063	2007-11-22	112	3	-9999	0.44
COCORAHS	US1ILCK0063	2007-11-23	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-24	0	0	-9999	0.0
COCORAHS	US1ILCK0063	2007-11-25	0	0	-9999	0.0
