#### ARLINGTON HEIGHTS 1.8 NNW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0081	2007-08-16	20	0	-9999	0.08
COCORAHS	US1ILCK0081	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-08-18	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-08-19	538	0	-9999	2.12
COCORAHS	US1ILCK0081	2007-08-20	480	0	-9999	1.89
COCORAHS	US1ILCK0081	2007-08-21	104	0	-9999	0.41
COCORAHS	US1ILCK0081	2007-08-22	33	0	-9999	0.13
COCORAHS	US1ILCK0081	2007-08-23	150	0	-9999	0.59
COCORAHS	US1ILCK0081	2007-08-24	615	0	-9999	2.42
COCORAHS	US1ILCK0081	2007-08-25	33	0	-9999	0.13
COCORAHS	US1ILCK0081	2007-08-26	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-08-27	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-08-28	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-08-29	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-08-30	3	0	-9999	0.01
COCORAHS	US1ILCK0081	2007-08-31	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-01	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-02	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-04	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-05	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-06	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-07	107	0	-9999	0.42
COCORAHS	US1ILCK0081	2007-09-08	28	0	-9999	0.11
COCORAHS	US1ILCK0081	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-11	132	0	-9999	0.52
COCORAHS	US1ILCK0081	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-13	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-14	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-15	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-16	0	0	-9999	0.0
COCORAHS	US1ILCK0081	2007-09-17	0	0	-9999	0.0
