#### ARLINGTON HEIGHTS 1.3 SW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0087	2007-12-05	127	0	-9999	0.5
COCORAHS	US1ILCK0087	2007-12-09	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2007-12-10	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2007-12-14	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2007-12-22	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-01-08	76	0	-9999	0.3
COCORAHS	US1ILCK0087	2008-04-08	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-04-09	180	0	-9999	0.71
COCORAHS	US1ILCK0087	2008-04-10	10	0	-9999	0.04
COCORAHS	US1ILCK0087	2008-04-11	170	0	-9999	0.67
COCORAHS	US1ILCK0087	2008-04-15	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-04-16	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-05-09	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-05-18	25	0	-9999	0.1
COCORAHS	US1ILCK0087	2008-05-19	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-05-20	8	0	-9999	0.03
COCORAHS	US1ILCK0087	2008-05-21	8	0	-9999	0.03
COCORAHS	US1ILCK0087	2008-05-26	180	0	-9999	0.71
COCORAHS	US1ILCK0087	2008-05-29	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-05-31	61	0	-9999	0.24
COCORAHS	US1ILCK0087	2008-06-02	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-06-03	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-06-04	124	0	-9999	0.49
COCORAHS	US1ILCK0087	2008-06-13	69	0	-9999	0.27
COCORAHS	US1ILCK0087	2008-06-20	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-06-21	61	0	-9999	0.24
COCORAHS	US1ILCK0087	2008-06-22	18	0	-9999	0.07
COCORAHS	US1ILCK0087	2008-06-30	20	0	-9999	0.08
COCORAHS	US1ILCK0087	2008-07-01	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-02	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-12	102	0	-9999	0.4
COCORAHS	US1ILCK0087	2008-07-19	1113	0	-9999	4.38
COCORAHS	US1ILCK0087	2008-07-20	226	0	-9999	0.89
COCORAHS	US1ILCK0087	2008-07-21	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-22	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-23	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-24	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-25	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-26	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-27	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-28	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-29	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-30	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-07-31	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-01	43	0	-9999	0.17
COCORAHS	US1ILCK0087	2008-08-02	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-03	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-04	71	0	-9999	0.28
COCORAHS	US1ILCK0087	2008-08-05	556	0	-9999	2.19
COCORAHS	US1ILCK0087	2008-08-06	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-07	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-08	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-09	5	0	-9999	0.02
COCORAHS	US1ILCK0087	2008-08-17	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-18	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-19	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-20	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-21	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-22	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-23	132	0	-9999	0.52
COCORAHS	US1ILCK0087	2008-08-24	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-25	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-26	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-27	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-28	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-29	20	0	-9999	0.08
COCORAHS	US1ILCK0087	2008-08-30	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-08-31	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-01	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-02	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-03	109	0	-9999	0.43
COCORAHS	US1ILCK0087	2008-09-04	46	0	-9999	0.18
COCORAHS	US1ILCK0087	2008-09-05	663	0	-9999	2.61
COCORAHS	US1ILCK0087	2008-09-06	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-07	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-10	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-11	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-12	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-13	864	0	-9999	3.4
COCORAHS	US1ILCK0087	2008-09-14	894	0	-9999	3.52
COCORAHS	US1ILCK0087	2008-09-15	147	0	-9999	0.58
COCORAHS	US1ILCK0087	2008-09-16	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-17	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-18	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-19	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-20	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-21	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-22	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-23	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-24	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-25	23	0	-9999	0.09
COCORAHS	US1ILCK0087	2008-09-26	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-27	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-28	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-29	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-09-30	152	0	-9999	0.6
COCORAHS	US1ILCK0087	2008-10-01	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-02	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-03	5	0	-9999	0.02
COCORAHS	US1ILCK0087	2008-10-04	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-05	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-06	18	0	-9999	0.07
COCORAHS	US1ILCK0087	2008-10-07	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-08	246	0	-9999	0.97
COCORAHS	US1ILCK0087	2008-10-09	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-10	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-11	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-12	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-13	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-14	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-15	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-16	64	0	-9999	0.25
COCORAHS	US1ILCK0087	2008-10-17	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-18	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-19	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-20	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-21	71	0	-9999	0.28
COCORAHS	US1ILCK0087	2008-10-22	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-23	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-24	86	0	-9999	0.34
COCORAHS	US1ILCK0087	2008-10-26	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-27	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-28	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-29	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-10-31	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-01	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-02	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-03	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-04	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-05	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-06	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-07	71	0	-9999	0.28
COCORAHS	US1ILCK0087	2008-11-08	13	0	-9999	0.05
COCORAHS	US1ILCK0087	2008-11-09	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-10	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-11	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-12	114	0	-9999	0.45
COCORAHS	US1ILCK0087	2008-11-15	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-16	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-17	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-18	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-19	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-20	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-21	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-22	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-23	0	0	-9999	0.0
COCORAHS	US1ILCK0087	2008-11-24	28	0	28	0.11
COCORAHS	US1ILCK0087	2008-11-25	0	0	-9999	0.0
