#### PALATINE 1.3 E IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0121	2008-05-28	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-05-29	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-05-30	53	0	-9999	0.21
COCORAHS	US1ILCK0121	2008-05-31	58	0	-9999	0.23
COCORAHS	US1ILCK0121	2008-06-01	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-02	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-03	140	0	-9999	0.55
COCORAHS	US1ILCK0121	2008-06-04	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-05	13	0	-9999	0.05
COCORAHS	US1ILCK0121	2008-06-06	5	0	-9999	0.02
COCORAHS	US1ILCK0121	2008-06-07	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-08	188	0	-9999	0.74
COCORAHS	US1ILCK0121	2008-06-09	279	0	-9999	1.1
COCORAHS	US1ILCK0121	2008-06-10	5	0	-9999	0.02
COCORAHS	US1ILCK0121	2008-06-11	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-12	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-13	43	0	-9999	0.17
COCORAHS	US1ILCK0121	2008-06-14	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-15	13	0	-9999	0.05
COCORAHS	US1ILCK0121	2008-06-16	46	0	-9999	0.18
COCORAHS	US1ILCK0121	2008-06-17	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-19	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-20	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-06-21	41	0	-9999	0.16
COCORAHS	US1ILCK0121	2008-06-22	10	0	-9999	0.04
COCORAHS	US1ILCK0121	2008-06-23	10	0	-9999	0.04
COCORAHS	US1ILCK0121	2008-06-24	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-25	13	0	-9999	0.05
COCORAHS	US1ILCK0121	2008-06-26	94	0	-9999	0.37
COCORAHS	US1ILCK0121	2008-06-27	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-28	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-06-29	165	0	-9999	0.65
COCORAHS	US1ILCK0121	2008-06-30	25	0	-9999	0.1
COCORAHS	US1ILCK0121	2008-07-01	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-02	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-03	185	0	-9999	0.73
COCORAHS	US1ILCK0121	2008-07-04	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-05	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-06	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-07	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-08	30	0	-9999	0.12
COCORAHS	US1ILCK0121	2008-07-09	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-07-10	25	0	-9999	0.1
COCORAHS	US1ILCK0121	2008-07-11	183	0	-9999	0.72
COCORAHS	US1ILCK0121	2008-07-12	175	0	-9999	0.69
COCORAHS	US1ILCK0121	2008-07-13	8	0	-9999	0.03
COCORAHS	US1ILCK0121	2008-07-14	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-15	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-16	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-17	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-07-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-19	516	0	-9999	2.03
COCORAHS	US1ILCK0121	2008-07-20	241	0	-9999	0.95
COCORAHS	US1ILCK0121	2008-07-21	13	0	-9999	0.05
COCORAHS	US1ILCK0121	2008-07-22	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-23	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-24	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-25	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-26	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-27	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-28	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-29	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-30	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-07-31	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-01	53	0	-9999	0.21
COCORAHS	US1ILCK0121	2008-08-02	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-03	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-04	66	0	-9999	0.26
COCORAHS	US1ILCK0121	2008-08-05	460	0	-9999	1.81
COCORAHS	US1ILCK0121	2008-08-06	5	0	-9999	0.02
COCORAHS	US1ILCK0121	2008-08-07	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-08	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-09	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-10	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-11	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-12	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-13	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-14	46	0	-9999	0.18
COCORAHS	US1ILCK0121	2008-08-15	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-16	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-17	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-19	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-20	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-21	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-22	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-23	25	0	-9999	0.1
COCORAHS	US1ILCK0121	2008-08-24	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-25	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-26	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-27	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-28	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-08-29	20	0	-9999	0.08
COCORAHS	US1ILCK0121	2008-08-30	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-08-31	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-01	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-02	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-03	117	0	-9999	0.46
COCORAHS	US1ILCK0121	2008-09-04	25	0	-9999	0.1
COCORAHS	US1ILCK0121	2008-09-05	599	0	-9999	2.36
COCORAHS	US1ILCK0121	2008-09-06	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-07	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-09-08	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-09	196	0	-9999	0.77
COCORAHS	US1ILCK0121	2008-09-10	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-09-11	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-12	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-13	643	0	-9999	2.53
COCORAHS	US1ILCK0121	2008-09-14	800	0	-9999	3.15
COCORAHS	US1ILCK0121	2008-09-15	249	0	-9999	0.98
COCORAHS	US1ILCK0121	2008-09-16	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-09-17	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-19	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-20	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-21	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-22	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-23	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-24	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-25	25	0	-9999	0.1
COCORAHS	US1ILCK0121	2008-09-26	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-27	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-28	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-09-29	157	0	-9999	0.62
COCORAHS	US1ILCK0121	2008-09-30	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-01	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-02	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-03	5	0	-9999	0.02
COCORAHS	US1ILCK0121	2008-10-04	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-05	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-06	25	0	-9999	0.1
COCORAHS	US1ILCK0121	2008-10-07	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-08	249	0	-9999	0.98
COCORAHS	US1ILCK0121	2008-10-09	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-10-10	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-11	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-12	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-13	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-14	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-15	51	0	-9999	0.2
COCORAHS	US1ILCK0121	2008-10-16	10	0	-9999	0.04
COCORAHS	US1ILCK0121	2008-10-17	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-19	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-20	61	0	-9999	0.24
COCORAHS	US1ILCK0121	2008-10-21	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-22	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-23	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-24	89	0	-9999	0.35
COCORAHS	US1ILCK0121	2008-10-25	46	0	-9999	0.18
COCORAHS	US1ILCK0121	2008-10-26	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-27	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-28	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-29	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-30	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-10-31	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-01	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-02	10	0	-9999	0.04
COCORAHS	US1ILCK0121	2008-11-03	5	0	-9999	0.02
COCORAHS	US1ILCK0121	2008-11-04	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-05	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-06	5	0	-9999	0.02
COCORAHS	US1ILCK0121	2008-11-07	74	0	-9999	0.29
COCORAHS	US1ILCK0121	2008-11-08	18	0	-9999	0.07
COCORAHS	US1ILCK0121	2008-11-09	10	0	-9999	0.04
COCORAHS	US1ILCK0121	2008-11-10	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-11	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-12	122	0	-9999	0.48
COCORAHS	US1ILCK0121	2008-11-13	3	0	-9999	0.01
COCORAHS	US1ILCK0121	2008-11-14	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-15	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-16	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-17	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-19	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-20	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-21	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-22	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-23	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-24	28	3	-9999	0.11
COCORAHS	US1ILCK0121	2008-11-25	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-26	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-27	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-28	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-29	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-11-30	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-01	142	84	142	0.56
COCORAHS	US1ILCK0121	2008-12-02	48	48	48	0.19
COCORAHS	US1ILCK0121	2008-12-03	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-04	30	28	30	0.12
COCORAHS	US1ILCK0121	2008-12-08	0	0	0	0.0
COCORAHS	US1ILCK0121	2008-12-09	206	0	-9999	0.81
COCORAHS	US1ILCK0121	2008-12-10	145	61	48	0.57
COCORAHS	US1ILCK0121	2008-12-11	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-12	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-13	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-14	53	0	-9999	0.21
COCORAHS	US1ILCK0121	2008-12-15	69	3	-9999	0.27
COCORAHS	US1ILCK0121	2008-12-16	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-17	84	97	84	0.33
COCORAHS	US1ILCK0121	2008-12-18	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-19	208	102	208	0.82
COCORAHS	US1ILCK0121	2008-12-20	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-21	18	33	18	0.07
COCORAHS	US1ILCK0121	2008-12-22	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-23	5	15	5	0.02
COCORAHS	US1ILCK0121	2008-12-24	107	76	107	0.42
COCORAHS	US1ILCK0121	2008-12-25	38	15	38	0.15
COCORAHS	US1ILCK0121	2008-12-26	3	0	0	0.01
COCORAHS	US1ILCK0121	2008-12-27	76	0	-9999	0.3
COCORAHS	US1ILCK0121	2008-12-28	216	0	-9999	0.85
COCORAHS	US1ILCK0121	2008-12-29	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-30	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2008-12-31	3	3	3	0.01
COCORAHS	US1ILCK0121	2009-01-01	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2009-01-02	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2009-01-03	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2009-01-04	64	0	-9999	0.25
COCORAHS	US1ILCK0121	2009-01-05	0	0	-9999	0.0
COCORAHS	US1ILCK0121	2009-01-06	0	0	0	0.0
COCORAHS	US1ILCK0121	2009-01-07	23	30	23	0.09
COCORAHS	US1ILCK0121	2009-01-08	3	3	3	0.01
COCORAHS	US1ILCK0121	2009-01-09	61	61	61	0.24
COCORAHS	US1ILCK0121	2009-01-10	109	119	109	0.43
COCORAHS	US1ILCK0121	2009-01-11	79	79	79	0.31
