#### SCHAUMBURG 2.7 WSW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0129	2008-10-08	251	0	-9999	0.99
COCORAHS	US1ILCK0129	2008-10-14	3	0	-9999	0.01
COCORAHS	US1ILCK0129	2008-10-15	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-10-16	74	0	-9999	0.29
COCORAHS	US1ILCK0129	2008-10-20	41	0	-9999	0.16
COCORAHS	US1ILCK0129	2008-10-21	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-10-22	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-10-23	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-10-24	89	0	-9999	0.35
COCORAHS	US1ILCK0129	2008-10-25	66	0	-9999	0.26
COCORAHS	US1ILCK0129	2008-10-27	3	0	-9999	0.01
COCORAHS	US1ILCK0129	2008-10-29	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-01	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-02	5	0	-9999	0.02
COCORAHS	US1ILCK0129	2008-11-03	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-04	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-05	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-06	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-07	61	0	-9999	0.24
COCORAHS	US1ILCK0129	2008-11-08	8	0	-9999	0.03
COCORAHS	US1ILCK0129	2008-11-09	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-10	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-11	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-12	114	0	-9999	0.45
COCORAHS	US1ILCK0129	2008-11-13	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-16	36	0	-9999	0.14
COCORAHS	US1ILCK0129	2008-11-17	3	0	0	0.01
COCORAHS	US1ILCK0129	2008-11-18	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-19	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-20	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-21	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-22	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-23	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-11-24	20	3	-9999	0.08
COCORAHS	US1ILCK0129	2008-11-25	3	0	-9999	0.01
COCORAHS	US1ILCK0129	2008-11-26	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-03	124	0	-9999	0.49
COCORAHS	US1ILCK0129	2008-12-04	23	20	23	0.09
COCORAHS	US1ILCK0129	2008-12-08	20	0	-9999	0.08
COCORAHS	US1ILCK0129	2008-12-09	173	0	-9999	0.68
COCORAHS	US1ILCK0129	2008-12-10	188	-9999	-9999	0.74
COCORAHS	US1ILCK0129	2008-12-11	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-12	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-14	74	0	-9999	0.29
COCORAHS	US1ILCK0129	2008-12-15	74	0	-9999	0.29
COCORAHS	US1ILCK0129	2008-12-17	89	-9999	-9999	0.35
COCORAHS	US1ILCK0129	2008-12-18	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-19	236	-9999	-9999	0.93
COCORAHS	US1ILCK0129	2008-12-20	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-21	20	-9999	-9999	0.08
COCORAHS	US1ILCK0129	2008-12-22	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-23	3	-9999	-9999	0.01
COCORAHS	US1ILCK0129	2008-12-24	84	-9999	-9999	0.33
COCORAHS	US1ILCK0129	2008-12-26	43	-9999	-9999	0.17
COCORAHS	US1ILCK0129	2008-12-27	104	-9999	-9999	0.41
COCORAHS	US1ILCK0129	2008-12-28	218	-9999	-9999	0.86
COCORAHS	US1ILCK0129	2008-12-29	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-30	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2008-12-31	3	0	-9999	0.01
COCORAHS	US1ILCK0129	2009-01-01	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-02	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-03	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-04	20	-9999	-9999	0.08
COCORAHS	US1ILCK0129	2009-01-05	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-06	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-07	33	-9999	-9999	0.13
COCORAHS	US1ILCK0129	2009-01-08	5	-9999	-9999	0.02
COCORAHS	US1ILCK0129	2009-01-09	10	-9999	-9999	0.04
COCORAHS	US1ILCK0129	2009-01-11	244	-9999	-9999	0.96
COCORAHS	US1ILCK0129	2009-01-12	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-13	30	-9999	-9999	0.12
COCORAHS	US1ILCK0129	2009-01-14	28	-9999	-9999	0.11
COCORAHS	US1ILCK0129	2009-01-15	18	-9999	-9999	0.07
COCORAHS	US1ILCK0129	2009-01-16	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-17	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-18	3	-9999	-9999	0.01
COCORAHS	US1ILCK0129	2009-01-19	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-20	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-21	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-22	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-23	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-24	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-25	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-26	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-27	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-28	13	-9999	-9999	0.05
COCORAHS	US1ILCK0129	2009-01-29	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-30	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-01-31	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-01	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-02	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-03	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-04	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-05	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-06	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-08	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-09	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-10	28	-9999	-9999	0.11
COCORAHS	US1ILCK0129	2009-02-11	43	-9999	-9999	0.17
COCORAHS	US1ILCK0129	2009-02-12	137	-9999	-9999	0.54
COCORAHS	US1ILCK0129	2009-02-13	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-14	20	-9999	-9999	0.08
COCORAHS	US1ILCK0129	2009-02-15	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-16	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-17	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-18	23	-9999	-9999	0.09
COCORAHS	US1ILCK0129	2009-02-19	28	-9999	-9999	0.11
COCORAHS	US1ILCK0129	2009-02-20	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-21	71	-9999	-9999	0.28
COCORAHS	US1ILCK0129	2009-02-22	10	-9999	-9999	0.04
COCORAHS	US1ILCK0129	2009-02-23	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-24	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-25	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-26	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-02-27	345	-9999	-9999	1.36
COCORAHS	US1ILCK0129	2009-02-28	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-01	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-02	5	-9999	-9999	0.02
COCORAHS	US1ILCK0129	2009-03-03	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-04	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-05	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-06	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-07	15	-9999	-9999	0.06
COCORAHS	US1ILCK0129	2009-03-08	361	-9999	-9999	1.42
COCORAHS	US1ILCK0129	2009-03-09	274	-9999	-9999	1.08
COCORAHS	US1ILCK0129	2009-03-10	117	-9999	-9999	0.46
COCORAHS	US1ILCK0129	2009-03-11	23	-9999	-9999	0.09
COCORAHS	US1ILCK0129	2009-03-12	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-13	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-14	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-15	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-16	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-17	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-18	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-19	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-23	0	-9999	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-24	5	-9999	-9999	0.02
COCORAHS	US1ILCK0129	2009-03-25	74	-9999	-9999	0.29
COCORAHS	US1ILCK0129	2009-03-26	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-27	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-28	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-03-29	310	-9999	-9999	1.22
COCORAHS	US1ILCK0129	2009-03-30	25	-9999	-9999	0.1
COCORAHS	US1ILCK0129	2009-03-31	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-04-01	124	-9999	-9999	0.49
COCORAHS	US1ILCK0129	2009-04-02	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-04-03	66	-9999	-9999	0.26
COCORAHS	US1ILCK0129	2009-04-04	8	-9999	-9999	0.03
COCORAHS	US1ILCK0129	2009-04-05	5	-9999	-9999	0.02
COCORAHS	US1ILCK0129	2009-04-06	112	-9999	-9999	0.44
COCORAHS	US1ILCK0129	2009-04-07	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-04-08	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-04-09	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-04-10	0	0	-9999	0.0
COCORAHS	US1ILCK0129	2009-04-11	0	0	-9999	0.0
