#### SCHAUMBURG 2.0 E IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0131	2008-12-21	15	28	-9999	0.06
COCORAHS	US1ILCK0131	2008-12-23	8	30	-9999	0.03
COCORAHS	US1ILCK0131	2008-12-24	140	127	203	0.55
COCORAHS	US1ILCK0131	2008-12-25	0	0	0	0.0
COCORAHS	US1ILCK0131	2008-12-26	5	0	-9999	0.02
COCORAHS	US1ILCK0131	2008-12-27	216	0	-9999	0.85
COCORAHS	US1ILCK0131	2008-12-28	241	0	0	0.95
COCORAHS	US1ILCK0131	2008-12-29	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2008-12-30	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2008-12-31	5	3	5	0.02
COCORAHS	US1ILCK0131	2009-01-01	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2009-01-02	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2009-01-03	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2009-01-04	25	0	-9999	0.1
COCORAHS	US1ILCK0131	2009-01-05	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2009-01-06	0	0	-9999	0.0
COCORAHS	US1ILCK0131	2009-01-07	33	51	33	0.13
COCORAHS	US1ILCK0131	2009-01-08	3	5	3	0.01
COCORAHS	US1ILCK0131	2009-01-09	20	25	20	0.08
COCORAHS	US1ILCK0131	2009-01-10	119	132	119	0.47
COCORAHS	US1ILCK0131	2009-01-11	71	79	71	0.28
COCORAHS	US1ILCK0131	2009-01-12	0	0	0	0.0
COCORAHS	US1ILCK0131	2009-01-13	36	38	36	0.14
COCORAHS	US1ILCK0131	2009-01-14	38	43	38	0.15
COCORAHS	US1ILCK0131	2009-01-15	8	10	8	0.03
COCORAHS	US1ILCK0131	2009-01-16	0	0	0	0.0
COCORAHS	US1ILCK0131	2009-01-17	0	0	0	0.0
COCORAHS	US1ILCK0131	2009-01-18	0	0	0	0.0
COCORAHS	US1ILCK0131	2009-01-19	0	0	0	0.0
COCORAHS	US1ILCK0131	2009-01-20	3	5	3	0.01
COCORAHS	US1ILCK0131	2009-01-21	0	0	0	0.0
