#### MELROSE PARK 2.0 NW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0137	2009-05-02	5	-9999	-9999	0.02
COCORAHS	US1ILCK0137	2009-05-03	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-04	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-05	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-06	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-07	196	-9999	-9999	0.77
COCORAHS	US1ILCK0137	2009-05-08	3	-9999	-9999	0.01
COCORAHS	US1ILCK0137	2009-05-09	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-10	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-11	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-12	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-13	48	-9999	-9999	0.19
COCORAHS	US1ILCK0137	2009-05-14	117	-9999	-9999	0.46
COCORAHS	US1ILCK0137	2009-05-15	0	-9999	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-16	112	-9999	-9999	0.44
COCORAHS	US1ILCK0137	2009-05-17	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-18	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-19	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-20	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-21	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-22	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-23	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-24	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-25	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-26	8	-9999	-9999	0.03
COCORAHS	US1ILCK0137	2009-05-27	381	-9999	-9999	1.5
COCORAHS	US1ILCK0137	2009-05-28	0	-9999	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-29	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-30	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-05-31	0	0	-9999	0.0
COCORAHS	US1ILCK0137	2009-06-01	81	-9999	-9999	0.32
