#### INVERNESS 1.7 S IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0143	2009-07-10	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-11	23	-9999	-9999	0.09
COCORAHS	US1ILCK0143	2009-07-12	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-13	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-14	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-15	91	-9999	-9999	0.36
COCORAHS	US1ILCK0143	2009-07-16	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-17	10	-9999	-9999	0.04
COCORAHS	US1ILCK0143	2009-07-18	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-19	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-20	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-21	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-22	58	-9999	-9999	0.23
COCORAHS	US1ILCK0143	2009-07-23	38	-9999	-9999	0.15
COCORAHS	US1ILCK0143	2009-07-24	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-25	51	-9999	-9999	0.2
COCORAHS	US1ILCK0143	2009-07-26	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-27	3	-9999	-9999	0.01
COCORAHS	US1ILCK0143	2009-07-28	5	-9999	-9999	0.02
COCORAHS	US1ILCK0143	2009-07-29	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-30	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-07-31	36	-9999	-9999	0.14
COCORAHS	US1ILCK0143	2009-08-01	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-02	5	-9999	-9999	0.02
COCORAHS	US1ILCK0143	2009-08-03	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-04	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-05	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-06	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-07	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-08	97	-9999	-9999	0.38
COCORAHS	US1ILCK0143	2009-08-16	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-17	264	-9999	-9999	1.04
COCORAHS	US1ILCK0143	2009-08-18	30	-9999	-9999	0.12
COCORAHS	US1ILCK0143	2009-08-24	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-25	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-08-26	180	-9999	-9999	0.71
COCORAHS	US1ILCK0143	2009-08-27	297	-9999	-9999	1.17
COCORAHS	US1ILCK0143	2009-08-28	221	-9999	-9999	0.87
COCORAHS	US1ILCK0143	2009-08-29	8	-9999	-9999	0.03
COCORAHS	US1ILCK0143	2009-09-01	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-02	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-03	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-04	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-05	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-06	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-07	15	-9999	-9999	0.06
COCORAHS	US1ILCK0143	2009-09-08	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-09	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-10	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-11	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-12	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-13	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-14	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-15	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-17	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-18	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-19	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-20	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-21	183	-9999	-9999	0.72
COCORAHS	US1ILCK0143	2009-09-22	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-23	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-24	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-25	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-26	91	-9999	-9999	0.36
COCORAHS	US1ILCK0143	2009-09-27	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-28	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-09-29	3	-9999	-9999	0.01
COCORAHS	US1ILCK0143	2009-09-30	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-01	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-02	203	-9999	-9999	0.8
COCORAHS	US1ILCK0143	2009-10-03	58	-9999	-9999	0.23
COCORAHS	US1ILCK0143	2009-10-04	71	-9999	-9999	0.28
COCORAHS	US1ILCK0143	2009-10-05	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-06	10	-9999	-9999	0.04
COCORAHS	US1ILCK0143	2009-10-07	25	-9999	-9999	0.1
COCORAHS	US1ILCK0143	2009-10-08	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-09	33	-9999	-9999	0.13
COCORAHS	US1ILCK0143	2009-10-10	79	-9999	-9999	0.31
COCORAHS	US1ILCK0143	2009-10-11	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-12	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-13	3	-9999	-9999	0.01
COCORAHS	US1ILCK0143	2009-10-14	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-15	58	-9999	-9999	0.23
COCORAHS	US1ILCK0143	2009-10-16	48	-9999	-9999	0.19
COCORAHS	US1ILCK0143	2009-10-17	15	-9999	-9999	0.06
COCORAHS	US1ILCK0143	2009-10-18	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-19	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-20	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-21	36	-9999	-9999	0.14
COCORAHS	US1ILCK0143	2009-10-22	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-23	427	-9999	-9999	1.68
COCORAHS	US1ILCK0143	2009-10-24	58	-9999	-9999	0.23
COCORAHS	US1ILCK0143	2009-10-25	10	-9999	-9999	0.04
COCORAHS	US1ILCK0143	2009-10-26	76	-9999	-9999	0.3
COCORAHS	US1ILCK0143	2009-10-27	15	-9999	-9999	0.06
COCORAHS	US1ILCK0143	2009-10-28	3	-9999	-9999	0.01
COCORAHS	US1ILCK0143	2009-10-29	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-10-30	216	-9999	-9999	0.85
COCORAHS	US1ILCK0143	2009-10-31	135	-9999	-9999	0.53
COCORAHS	US1ILCK0143	2009-11-01	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-02	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-03	0	-9999	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-04	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-05	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-06	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-07	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-08	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-09	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-10	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-11	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-12	0	0	-9999	0.0
COCORAHS	US1ILCK0143	2009-11-13	0	0	-9999	0.0
