#### STREAMWOOD 0.6 W IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0177	2011-04-04	66	-9999	-9999	0.26
COCORAHS	US1ILCK0177	2011-04-05	3	-9999	-9999	0.01
COCORAHS	US1ILCK0177	2011-04-06	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-07	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-08	191	-9999	-9999	0.75
COCORAHS	US1ILCK0177	2011-04-09	5	-9999	-9999	0.02
COCORAHS	US1ILCK0177	2011-04-10	5	-9999	-9999	0.02
COCORAHS	US1ILCK0177	2011-04-11	15	-9999	-9999	0.06
COCORAHS	US1ILCK0177	2011-04-12	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-13	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-14	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-15	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-16	150	-9999	-9999	0.59
COCORAHS	US1ILCK0177	2011-04-17	41	-9999	-9999	0.16
COCORAHS	US1ILCK0177	2011-04-18	145	-9999	-9999	0.57
COCORAHS	US1ILCK0177	2011-04-19	15	-9999	-9999	0.06
COCORAHS	US1ILCK0177	2011-04-20	279	-9999	-9999	1.1
COCORAHS	US1ILCK0177	2011-04-21	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-22	53	-9999	-9999	0.21
COCORAHS	US1ILCK0177	2011-04-23	107	-9999	-9999	0.42
COCORAHS	US1ILCK0177	2011-04-24	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-04-25	3	-9999	-9999	0.01
COCORAHS	US1ILCK0177	2011-04-26	185	-9999	-9999	0.73
COCORAHS	US1ILCK0177	2011-04-27	43	-9999	-9999	0.17
COCORAHS	US1ILCK0177	2011-04-28	46	-9999	-9999	0.18
COCORAHS	US1ILCK0177	2011-04-29	10	-9999	-9999	0.04
COCORAHS	US1ILCK0177	2011-04-30	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-01	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-02	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-03	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-04	13	-9999	-9999	0.05
COCORAHS	US1ILCK0177	2011-05-05	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-06	18	-9999	-9999	0.07
COCORAHS	US1ILCK0177	2011-05-07	5	-9999	-9999	0.02
COCORAHS	US1ILCK0177	2011-05-08	0	-9999	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-09	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-10	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-11	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-12	157	-9999	-9999	0.62
COCORAHS	US1ILCK0177	2011-05-13	0	0	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-14	8	-9999	-9999	0.03
COCORAHS	US1ILCK0177	2011-05-15	58	-9999	-9999	0.23
COCORAHS	US1ILCK0177	2011-05-16	0	-9999	-9999	0.0
COCORAHS	US1ILCK0177	2011-05-17	0	0	-9999	0.0
