#### CAROL STREAM 0.7 WNW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0011	2007-02-19	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-02-20	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-02-21	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-02-22	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-02-23	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-02-24	8	5	-9999	0.03
COCORAHS	US1ILDP0011	2007-02-25	417	86	-9999	1.64
COCORAHS	US1ILDP0011	2007-02-27	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-02-28	5	0	-9999	0.02
COCORAHS	US1ILDP0011	2007-03-01	239	0	-9999	0.94
COCORAHS	US1ILDP0011	2007-03-02	3	3	-9999	0.01
COCORAHS	US1ILDP0011	2007-03-03	3	0	-9999	0.01
COCORAHS	US1ILDP0011	2007-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-07	8	5	-9999	0.03
COCORAHS	US1ILDP0011	2007-03-08	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-10	86	0	-9999	0.34
COCORAHS	US1ILDP0011	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-15	61	0	-9999	0.24
COCORAHS	US1ILDP0011	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-19	38	0	-9999	0.15
COCORAHS	US1ILDP0011	2007-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-21	107	0	-9999	0.42
COCORAHS	US1ILDP0011	2007-03-22	173	0	-9999	0.68
COCORAHS	US1ILDP0011	2007-03-23	61	0	-9999	0.24
COCORAHS	US1ILDP0011	2007-03-24	53	0	-9999	0.21
COCORAHS	US1ILDP0011	2007-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-28	38	0	-9999	0.15
COCORAHS	US1ILDP0011	2007-03-29	8	0	-9999	0.03
COCORAHS	US1ILDP0011	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-03-31	3	0	-9999	0.01
COCORAHS	US1ILDP0011	2007-04-01	119	0	-9999	0.47
COCORAHS	US1ILDP0011	2007-04-02	33	0	-9999	0.13
COCORAHS	US1ILDP0011	2007-04-03	5	0	-9999	0.02
COCORAHS	US1ILDP0011	2007-04-04	18	0	-9999	0.07
COCORAHS	US1ILDP0011	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILDP0011	2007-04-10	0	0	-9999	0.0
