#### AURORA 3.6 SE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0016	2007-02-20	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-02-21	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-02-22	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-02-23	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-02-25	122	38	-9999	0.48
COCORAHS	US1ILDP0016	2007-02-26	25	102	-9999	0.1
COCORAHS	US1ILDP0016	2007-02-27	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-02-28	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-01	104	0	-9999	0.41
COCORAHS	US1ILDP0016	2007-03-02	36	13	-9999	0.14
COCORAHS	US1ILDP0016	2007-03-03	10	3	-9999	0.04
COCORAHS	US1ILDP0016	2007-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-07	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-08	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-10	30	0	-9999	0.12
COCORAHS	US1ILDP0016	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-12	3	0	-9999	0.01
COCORAHS	US1ILDP0016	2007-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-15	25	0	-9999	0.1
COCORAHS	US1ILDP0016	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0016	2007-03-19	56	0	-9999	0.22
COCORAHS	US1ILDP0016	2007-03-20	3	0	-9999	0.01
COCORAHS	US1ILDP0016	2007-03-21	102	0	-9999	0.4
COCORAHS	US1ILDP0016	2007-03-22	71	0	-9999	0.28
