#### DOWNERS GROVE 2.1 SE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0018	2007-02-25	135	-9999	53	0.53
COCORAHS	US1ILDP0018	2007-02-26	48	76	58	0.19
COCORAHS	US1ILDP0018	2007-02-27	0	-9999	-9999	0.0
COCORAHS	US1ILDP0018	2007-02-28	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-01	84	0	-9999	0.33
COCORAHS	US1ILDP0018	2007-03-03	-9999	13	-9999	-9999
COCORAHS	US1ILDP0018	2007-03-04	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-07	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-08	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-10	51	0	-9999	0.2
COCORAHS	US1ILDP0018	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-15	53	0	-9999	0.21
COCORAHS	US1ILDP0018	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-19	104	0	-9999	0.41
COCORAHS	US1ILDP0018	2007-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-21	109	0	-9999	0.43
COCORAHS	US1ILDP0018	2007-03-22	97	0	-9999	0.38
COCORAHS	US1ILDP0018	2007-03-23	66	0	-9999	0.26
COCORAHS	US1ILDP0018	2007-03-24	8	0	-9999	0.03
COCORAHS	US1ILDP0018	2007-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-28	104	0	-9999	0.41
COCORAHS	US1ILDP0018	2007-03-29	8	0	-9999	0.03
COCORAHS	US1ILDP0018	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-03-31	5	0	-9999	0.02
COCORAHS	US1ILDP0018	2007-04-01	132	0	-9999	0.52
COCORAHS	US1ILDP0018	2007-04-02	20	0	-9999	0.08
COCORAHS	US1ILDP0018	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-04	28	0	-9999	0.11
COCORAHS	US1ILDP0018	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-11	155	56	-9999	0.61
COCORAHS	US1ILDP0018	2007-04-12	231	0	-9999	0.91
COCORAHS	US1ILDP0018	2007-04-13	8	0	-9999	0.03
COCORAHS	US1ILDP0018	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0018	2007-04-25	373	0	-9999	1.47
COCORAHS	US1ILDP0018	2007-04-26	107	0	-9999	0.42
COCORAHS	US1ILDP0018	2007-04-27	211	0	-9999	0.83
