#### LISLE 0.6 W IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0024	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-09	3	0	-9999	0.01
COCORAHS	US1ILDP0024	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-16	41	0	-9999	0.16
COCORAHS	US1ILDP0024	2007-05-17	13	0	-9999	0.05
COCORAHS	US1ILDP0024	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-25	13	0	-9999	0.05
COCORAHS	US1ILDP0024	2007-05-26	30	0	-9999	0.12
COCORAHS	US1ILDP0024	2007-05-27	124	0	-9999	0.49
COCORAHS	US1ILDP0024	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-30	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-01	10	0	-9999	0.04
COCORAHS	US1ILDP0024	2007-06-02	36	0	-9999	0.14
COCORAHS	US1ILDP0024	2007-06-03	3	0	-9999	0.01
COCORAHS	US1ILDP0024	2007-06-04	8	0	-9999	0.03
COCORAHS	US1ILDP0024	2007-06-05	76	0	-9999	0.3
COCORAHS	US1ILDP0024	2007-06-06	5	0	-9999	0.02
COCORAHS	US1ILDP0024	2007-06-07	3	0	-9999	0.01
COCORAHS	US1ILDP0024	2007-06-08	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-09	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-10	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-19	145	0	-9999	0.57
COCORAHS	US1ILDP0024	2007-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-22	38	0	-9999	0.15
COCORAHS	US1ILDP0024	2007-06-23	25	0	-9999	0.1
COCORAHS	US1ILDP0024	2007-06-24	94	0	-9999	0.37
COCORAHS	US1ILDP0024	2007-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-27	5	0	-9999	0.02
COCORAHS	US1ILDP0024	2007-06-28	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-04	178	0	-9999	0.7
COCORAHS	US1ILDP0024	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-08	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-10	64	0	-9999	0.25
COCORAHS	US1ILDP0024	2007-07-11	69	0	-9999	0.27
COCORAHS	US1ILDP0024	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-26	48	0	-9999	0.19
COCORAHS	US1ILDP0024	2007-07-27	84	0	-9999	0.33
COCORAHS	US1ILDP0024	2007-07-28	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-07-30	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-01	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-02	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-03	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-05	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-06	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-07	66	0	-9999	0.26
COCORAHS	US1ILDP0024	2007-08-08	48	0	-9999	0.19
COCORAHS	US1ILDP0024	2007-08-09	84	0	-9999	0.33
COCORAHS	US1ILDP0024	2007-08-10	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-11	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-12	51	0	-9999	0.2
COCORAHS	US1ILDP0024	2007-08-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-14	157	0	-9999	0.62
COCORAHS	US1ILDP0024	2007-08-15	8	0	-9999	0.03
COCORAHS	US1ILDP0024	2007-08-16	30	0	-9999	0.12
COCORAHS	US1ILDP0024	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-24	485	0	-9999	1.91
COCORAHS	US1ILDP0024	2007-08-25	33	0	-9999	0.13
COCORAHS	US1ILDP0024	2007-08-26	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-27	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-29	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-30	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-08-31	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-01	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-02	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-04	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-05	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-06	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-07	74	0	-9999	0.29
COCORAHS	US1ILDP0024	2007-09-08	13	0	-9999	0.05
COCORAHS	US1ILDP0024	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-11	64	0	-9999	0.25
COCORAHS	US1ILDP0024	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-14	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-15	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-16	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-18	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-19	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-20	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-21	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-22	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-23	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-24	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-25	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-26	168	0	-9999	0.66
COCORAHS	US1ILDP0024	2007-09-27	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-28	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-29	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-09-30	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-01	142	0	-9999	0.56
COCORAHS	US1ILDP0024	2007-10-02	15	0	-9999	0.06
COCORAHS	US1ILDP0024	2007-10-03	53	0	-9999	0.21
COCORAHS	US1ILDP0024	2007-10-04	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-05	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-06	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-07	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-08	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-09	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-10	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-11	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-12	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-14	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-15	13	0	-9999	0.05
COCORAHS	US1ILDP0024	2007-10-16	102	0	-9999	0.4
COCORAHS	US1ILDP0024	2007-10-17	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-18	114	0	-9999	0.45
COCORAHS	US1ILDP0024	2007-10-19	5	0	-9999	0.02
COCORAHS	US1ILDP0024	2007-10-20	5	0	-9999	0.02
COCORAHS	US1ILDP0024	2007-10-22	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-23	36	0	-9999	0.14
COCORAHS	US1ILDP0024	2007-10-24	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-25	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-26	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-27	81	0	-9999	0.32
COCORAHS	US1ILDP0024	2007-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-30	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-10-31	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-02	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-03	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-04	5	0	-9999	0.02
COCORAHS	US1ILDP0024	2007-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-07	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-09	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-11	25	0	-9999	0.1
COCORAHS	US1ILDP0024	2007-11-12	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-13	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-14	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-16	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-17	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-11-18	5	0	-9999	0.02
COCORAHS	US1ILDP0024	2007-11-19	0	0	-9999	0.0
COCORAHS	US1ILDP0024	2007-12-16	43	61	-9999	0.17
