#### NAPERVILLE 2.1 ESE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0027	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-10	48	0	-9999	0.19
COCORAHS	US1ILDP0027	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-15	41	0	-9999	0.16
COCORAHS	US1ILDP0027	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-19	91	0	-9999	0.36
COCORAHS	US1ILDP0027	2007-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-21	112	0	-9999	0.44
COCORAHS	US1ILDP0027	2007-03-22	76	0	-9999	0.3
COCORAHS	US1ILDP0027	2007-03-23	86	0	-9999	0.34
COCORAHS	US1ILDP0027	2007-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-28	18	0	-9999	0.07
COCORAHS	US1ILDP0027	2007-03-29	5	0	-9999	0.02
COCORAHS	US1ILDP0027	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-03-31	13	0	-9999	0.05
COCORAHS	US1ILDP0027	2007-04-01	173	0	-9999	0.68
COCORAHS	US1ILDP0027	2007-04-02	10	0	-9999	0.04
COCORAHS	US1ILDP0027	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-04-04	48	0	-9999	0.19
COCORAHS	US1ILDP0027	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0027	2007-04-07	0	0	-9999	0.0
