#### WEST CHICAGO 1.0 SE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0028	2007-03-04	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-07	5	5	-9999	0.02
COCORAHS	US1ILDP0028	2007-03-08	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-10	79	0	-9999	0.31
COCORAHS	US1ILDP0028	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-15	43	0	-9999	0.17
COCORAHS	US1ILDP0028	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-19	48	0	-9999	0.19
COCORAHS	US1ILDP0028	2007-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-21	86	0	-9999	0.34
COCORAHS	US1ILDP0028	2007-03-22	165	0	-9999	0.65
COCORAHS	US1ILDP0028	2007-03-23	64	0	-9999	0.25
COCORAHS	US1ILDP0028	2007-03-24	38	0	-9999	0.15
COCORAHS	US1ILDP0028	2007-03-25	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-28	79	0	-9999	0.31
COCORAHS	US1ILDP0028	2007-03-29	8	0	-9999	0.03
COCORAHS	US1ILDP0028	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-03-31	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-04-01	109	0	-9999	0.43
COCORAHS	US1ILDP0028	2007-04-02	28	0	-9999	0.11
COCORAHS	US1ILDP0028	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-04	13	0	-9999	0.05
COCORAHS	US1ILDP0028	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-11	84	0	-9999	0.33
COCORAHS	US1ILDP0028	2007-04-12	173	0	-9999	0.68
COCORAHS	US1ILDP0028	2007-04-13	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-25	391	0	-9999	1.54
COCORAHS	US1ILDP0028	2007-04-26	89	0	-9999	0.35
COCORAHS	US1ILDP0028	2007-04-27	38	0	-9999	0.15
COCORAHS	US1ILDP0028	2007-04-28	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-04-30	122	0	-9999	0.48
COCORAHS	US1ILDP0028	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-03	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-05	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-16	69	0	-9999	0.27
COCORAHS	US1ILDP0028	2007-05-17	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-21	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-25	41	0	-9999	0.16
COCORAHS	US1ILDP0028	2007-05-26	41	0	-9999	0.16
COCORAHS	US1ILDP0028	2007-05-27	122	0	-9999	0.48
COCORAHS	US1ILDP0028	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-30	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-01	10	0	-9999	0.04
COCORAHS	US1ILDP0028	2007-06-02	81	0	-9999	0.32
COCORAHS	US1ILDP0028	2007-06-03	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-06-04	132	0	-9999	0.52
COCORAHS	US1ILDP0028	2007-06-05	109	0	-9999	0.43
COCORAHS	US1ILDP0028	2007-06-06	20	0	-9999	0.08
COCORAHS	US1ILDP0028	2007-06-07	5	0	-9999	0.02
COCORAHS	US1ILDP0028	2007-06-08	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-19	246	0	-9999	0.97
COCORAHS	US1ILDP0028	2007-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-22	41	0	-9999	0.16
COCORAHS	US1ILDP0028	2007-06-23	36	0	-9999	0.14
COCORAHS	US1ILDP0028	2007-06-24	69	0	-9999	0.27
COCORAHS	US1ILDP0028	2007-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-27	3	0	-9999	0.01
COCORAHS	US1ILDP0028	2007-06-28	69	0	-9999	0.27
COCORAHS	US1ILDP0028	2007-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-04	188	0	-9999	0.74
COCORAHS	US1ILDP0028	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-08	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-10	79	0	-9999	0.31
COCORAHS	US1ILDP0028	2007-07-11	69	0	-9999	0.27
COCORAHS	US1ILDP0028	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-15	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-17	117	0	-9999	0.46
COCORAHS	US1ILDP0028	2007-07-18	89	0	-9999	0.35
COCORAHS	US1ILDP0028	2007-07-19	368	0	-9999	1.45
COCORAHS	US1ILDP0028	2007-07-20	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-21	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-22	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0028	2007-07-26	109	0	-9999	0.43
COCORAHS	US1ILDP0028	2007-07-27	114	0	-9999	0.45
