#### GLEN ELLYN 1.6 SSE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0029	2007-03-28	84	0	-9999	0.33
COCORAHS	US1ILDP0029	2007-03-29	8	0	-9999	0.03
COCORAHS	US1ILDP0029	2007-03-31	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-01	119	0	-9999	0.47
COCORAHS	US1ILDP0029	2007-04-02	13	0	-9999	0.05
COCORAHS	US1ILDP0029	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-04	33	0	-9999	0.13
COCORAHS	US1ILDP0029	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-12	236	0	-9999	0.93
COCORAHS	US1ILDP0029	2007-04-13	8	0	-9999	0.03
COCORAHS	US1ILDP0029	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-25	394	0	-9999	1.55
COCORAHS	US1ILDP0029	2007-04-26	81	0	-9999	0.32
COCORAHS	US1ILDP0029	2007-04-27	66	0	-9999	0.26
COCORAHS	US1ILDP0029	2007-04-28	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-04-30	76	0	-9999	0.3
COCORAHS	US1ILDP0029	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-16	137	0	-9999	0.54
COCORAHS	US1ILDP0029	2007-05-17	8	0	-9999	0.03
COCORAHS	US1ILDP0029	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-21	66	0	-9999	0.26
COCORAHS	US1ILDP0029	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-25	10	0	-9999	0.04
COCORAHS	US1ILDP0029	2007-05-26	23	0	-9999	0.09
COCORAHS	US1ILDP0029	2007-05-27	114	0	-9999	0.45
COCORAHS	US1ILDP0029	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-30	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILDP0029	2007-06-01	8	0	-9999	0.03
COCORAHS	US1ILDP0029	2007-06-02	81	0	-9999	0.32
COCORAHS	US1ILDP0029	2007-06-03	8	0	-9999	0.03
