#### LISLE 0.5 WSW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0030	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-03-28	28	0	-9999	0.11
COCORAHS	US1ILDP0030	2007-03-29	8	0	-9999	0.03
COCORAHS	US1ILDP0030	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-03-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-01	140	0	-9999	0.55
COCORAHS	US1ILDP0030	2007-04-02	8	0	-9999	0.03
COCORAHS	US1ILDP0030	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-04	28	0	-9999	0.11
COCORAHS	US1ILDP0030	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-11	89	33	-9999	0.35
COCORAHS	US1ILDP0030	2007-04-12	221	0	-9999	0.87
COCORAHS	US1ILDP0030	2007-04-13	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-25	389	0	-9999	1.53
COCORAHS	US1ILDP0030	2007-04-26	94	0	-9999	0.37
COCORAHS	US1ILDP0030	2007-04-27	157	0	-9999	0.62
COCORAHS	US1ILDP0030	2007-04-28	3	0	-9999	0.01
COCORAHS	US1ILDP0030	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-04-30	89	0	-9999	0.35
COCORAHS	US1ILDP0030	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-09	3	0	-9999	0.01
COCORAHS	US1ILDP0030	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-16	114	0	-9999	0.45
COCORAHS	US1ILDP0030	2007-05-17	13	0	-9999	0.05
COCORAHS	US1ILDP0030	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-25	18	0	-9999	0.07
COCORAHS	US1ILDP0030	2007-05-26	25	0	-9999	0.1
COCORAHS	US1ILDP0030	2007-05-27	127	0	-9999	0.5
COCORAHS	US1ILDP0030	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-06-01	10	0	-9999	0.04
COCORAHS	US1ILDP0030	2007-06-02	38	0	-9999	0.15
COCORAHS	US1ILDP0030	2007-06-03	3	0	-9999	0.01
COCORAHS	US1ILDP0030	2007-06-04	8	0	-9999	0.03
COCORAHS	US1ILDP0030	2007-06-05	81	0	-9999	0.32
COCORAHS	US1ILDP0030	2007-06-06	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2007-06-07	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-04	173	0	-9999	0.68
COCORAHS	US1ILDP0030	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-08	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-10	86	0	-9999	0.34
COCORAHS	US1ILDP0030	2007-07-11	38	0	-9999	0.15
COCORAHS	US1ILDP0030	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-17	23	0	-9999	0.09
COCORAHS	US1ILDP0030	2007-07-18	97	0	-9999	0.38
COCORAHS	US1ILDP0030	2007-07-19	401	0	-9999	1.58
COCORAHS	US1ILDP0030	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-26	48	0	-9999	0.19
COCORAHS	US1ILDP0030	2007-07-27	79	0	-9999	0.31
COCORAHS	US1ILDP0030	2007-07-28	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-30	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-07-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-01	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-02	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-03	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-05	23	0	-9999	0.09
COCORAHS	US1ILDP0030	2007-08-06	196	0	-9999	0.77
COCORAHS	US1ILDP0030	2007-08-07	64	0	-9999	0.25
COCORAHS	US1ILDP0030	2007-08-08	48	0	-9999	0.19
COCORAHS	US1ILDP0030	2007-08-09	84	0	-9999	0.33
COCORAHS	US1ILDP0030	2007-08-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-11	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-14	147	0	-9999	0.58
COCORAHS	US1ILDP0030	2007-08-15	13	0	-9999	0.05
COCORAHS	US1ILDP0030	2007-08-16	30	0	-9999	0.12
COCORAHS	US1ILDP0030	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-18	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-19	165	0	-9999	0.65
COCORAHS	US1ILDP0030	2007-08-20	404	0	-9999	1.59
COCORAHS	US1ILDP0030	2007-08-21	71	0	-9999	0.28
COCORAHS	US1ILDP0030	2007-08-22	33	0	-9999	0.13
COCORAHS	US1ILDP0030	2007-08-29	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-30	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-08-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-01	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-02	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-05	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-06	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-07	71	0	-9999	0.28
COCORAHS	US1ILDP0030	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-11	64	0	-9999	0.25
COCORAHS	US1ILDP0030	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-18	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-19	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-21	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-22	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-23	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-24	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-25	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-09-26	185	0	-9999	0.73
COCORAHS	US1ILDP0030	2007-10-01	137	0	-9999	0.54
COCORAHS	US1ILDP0030	2007-10-02	18	0	-9999	0.07
COCORAHS	US1ILDP0030	2007-10-03	51	0	-9999	0.2
COCORAHS	US1ILDP0030	2007-10-04	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-05	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-08	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-09	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-11	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-15	13	0	-9999	0.05
COCORAHS	US1ILDP0030	2007-10-16	94	0	-9999	0.37
COCORAHS	US1ILDP0030	2007-10-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-18	109	0	-9999	0.43
COCORAHS	US1ILDP0030	2007-10-19	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2007-10-20	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2007-10-21	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-22	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-23	41	0	-9999	0.16
COCORAHS	US1ILDP0030	2007-10-24	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-26	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-27	81	0	-9999	0.32
COCORAHS	US1ILDP0030	2007-10-28	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-30	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-10-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-02	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-07	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-08	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-09	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-11	28	0	-9999	0.11
COCORAHS	US1ILDP0030	2007-11-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-18	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2007-11-19	3	0	-9999	0.01
COCORAHS	US1ILDP0030	2007-11-20	3	0	-9999	0.01
COCORAHS	US1ILDP0030	2007-11-21	183	0	-9999	0.72
COCORAHS	US1ILDP0030	2007-11-22	124	0	-9999	0.49
COCORAHS	US1ILDP0030	2007-11-23	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-24	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-25	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-27	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-28	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-29	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-11-30	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-05	137	102	-9999	0.54
COCORAHS	US1ILDP0030	2007-12-06	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-07	20	13	-9999	0.08
COCORAHS	US1ILDP0030	2007-12-08	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-09	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-15	13	13	-9999	0.05
COCORAHS	US1ILDP0030	2007-12-16	61	51	-9999	0.24
COCORAHS	US1ILDP0030	2007-12-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-18	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-19	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-20	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-21	51	0	-9999	0.2
COCORAHS	US1ILDP0030	2007-12-22	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-23	94	0	-9999	0.37
COCORAHS	US1ILDP0030	2007-12-27	15	0	-9999	0.06
COCORAHS	US1ILDP0030	2007-12-28	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-29	76	51	-9999	0.3
COCORAHS	US1ILDP0030	2007-12-30	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2007-12-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-01	58	64	-9999	0.23
COCORAHS	US1ILDP0030	2008-01-02	10	-9999	-9999	0.04
COCORAHS	US1ILDP0030	2008-01-05	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-06	3	0	-9999	0.01
COCORAHS	US1ILDP0030	2008-01-07	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-08	251	0	-9999	0.99
COCORAHS	US1ILDP0030	2008-01-09	56	0	-9999	0.22
COCORAHS	US1ILDP0030	2008-01-10	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-11	99	0	-9999	0.39
COCORAHS	US1ILDP0030	2008-01-12	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-13	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-17	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-18	-9999	15	-9999	-9999
COCORAHS	US1ILDP0030	2008-01-21	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-22	76	76	79	0.3
COCORAHS	US1ILDP0030	2008-01-23	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-24	15	30	-9999	0.06
COCORAHS	US1ILDP0030	2008-01-25	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-26	18	38	-9999	0.07
COCORAHS	US1ILDP0030	2008-01-27	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-28	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-01-29	5	0	-9999	0.02
COCORAHS	US1ILDP0030	2008-01-31	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-02-01	140	191	-9999	0.55
COCORAHS	US1ILDP0030	2008-02-02	5	5	-9999	0.02
COCORAHS	US1ILDP0030	2008-02-03	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-02-04	102	94	-9999	0.4
COCORAHS	US1ILDP0030	2008-02-05	51	0	-9999	0.2
COCORAHS	US1ILDP0030	2008-02-06	114	0	-9999	0.45
COCORAHS	US1ILDP0030	2008-02-07	97	58	-9999	0.38
COCORAHS	US1ILDP0030	2008-02-08	5	10	-9999	0.02
COCORAHS	US1ILDP0030	2008-02-12	13	13	-9999	0.05
COCORAHS	US1ILDP0030	2008-02-13	28	43	-9999	0.11
COCORAHS	US1ILDP0030	2008-02-14	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-02-15	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-02-16	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-02-17	185	0	-9999	0.73
COCORAHS	US1ILDP0030	2008-02-18	117	0	-9999	0.46
COCORAHS	US1ILDP0030	2008-02-19	0	0	-9999	0.0
COCORAHS	US1ILDP0030	2008-02-20	8	13	-9999	0.03
COCORAHS	US1ILDP0030	2008-02-21	0	0	-9999	0.0
