#### LISLE 1.3 SE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0032	2007-04-01	180	0	-9999	0.71
COCORAHS	US1ILDP0032	2007-04-02	8	0	-9999	0.03
COCORAHS	US1ILDP0032	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-04	36	0	-9999	0.14
COCORAHS	US1ILDP0032	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-11	157	28	107	0.62
COCORAHS	US1ILDP0032	2007-04-12	244	0	-9999	0.96
COCORAHS	US1ILDP0032	2007-04-13	5	0	-9999	0.02
COCORAHS	US1ILDP0032	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-25	399	0	-9999	1.57
COCORAHS	US1ILDP0032	2007-04-26	109	0	-9999	0.43
COCORAHS	US1ILDP0032	2007-04-27	140	0	-9999	0.55
COCORAHS	US1ILDP0032	2007-04-28	3	0	-9999	0.01
COCORAHS	US1ILDP0032	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-04-30	86	0	-9999	0.34
COCORAHS	US1ILDP0032	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-05-09	8	0	-9999	0.03
COCORAHS	US1ILDP0032	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0032	2007-05-14	0	0	-9999	0.0
