#### WEST CHICAGO 2.7 N IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0034	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-13	8	0	-9999	0.03
COCORAHS	US1ILDP0034	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-23	3	0	-9999	0.01
COCORAHS	US1ILDP0034	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-25	343	0	-9999	1.35
COCORAHS	US1ILDP0034	2007-04-26	89	0	-9999	0.35
COCORAHS	US1ILDP0034	2007-04-27	48	0	-9999	0.19
COCORAHS	US1ILDP0034	2007-04-28	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-04-30	99	0	-9999	0.39
COCORAHS	US1ILDP0034	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-03	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-09	15	0	-9999	0.06
COCORAHS	US1ILDP0034	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-16	76	0	-9999	0.3
COCORAHS	US1ILDP0034	2007-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-04	46	0	-9999	0.18
COCORAHS	US1ILDP0034	2007-06-05	130	0	-9999	0.51
COCORAHS	US1ILDP0034	2007-06-06	36	0	-9999	0.14
COCORAHS	US1ILDP0034	2007-06-07	5	0	-9999	0.02
COCORAHS	US1ILDP0034	2007-06-08	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-09	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-10	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-19	94	0	-9999	0.37
COCORAHS	US1ILDP0034	2007-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-22	15	0	-9999	0.06
COCORAHS	US1ILDP0034	2007-06-23	38	0	-9999	0.15
COCORAHS	US1ILDP0034	2007-06-24	66	0	-9999	0.26
COCORAHS	US1ILDP0034	2007-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-28	358	0	-9999	1.41
COCORAHS	US1ILDP0034	2007-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-07-04	218	0	-9999	0.86
COCORAHS	US1ILDP0034	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0034	2007-07-07	0	0	-9999	0.0
