#### ELMHURST 0.4 SW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0038	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-10	69	0	-9999	0.27
COCORAHS	US1ILDP0038	2007-07-11	38	0	-9999	0.15
COCORAHS	US1ILDP0038	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-15	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-17	109	0	-9999	0.43
COCORAHS	US1ILDP0038	2007-07-18	48	0	-9999	0.19
COCORAHS	US1ILDP0038	2007-07-19	318	0	-9999	1.25
COCORAHS	US1ILDP0038	2007-07-20	28	0	-9999	0.11
COCORAHS	US1ILDP0038	2007-07-21	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-26	76	0	-9999	0.3
COCORAHS	US1ILDP0038	2007-07-27	38	0	-9999	0.15
COCORAHS	US1ILDP0038	2007-07-28	28	0	-9999	0.11
COCORAHS	US1ILDP0038	2007-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-30	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-07-31	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-01	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-02	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-03	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-16	76	0	-9999	0.3
COCORAHS	US1ILDP0038	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-18	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-19	76	0	-9999	0.3
COCORAHS	US1ILDP0038	2007-08-20	457	0	-9999	1.8
COCORAHS	US1ILDP0038	2007-08-21	25	0	-9999	0.1
COCORAHS	US1ILDP0038	2007-08-22	5	0	-9999	0.02
COCORAHS	US1ILDP0038	2007-08-23	282	0	-9999	1.11
COCORAHS	US1ILDP0038	2007-08-26	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-27	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-28	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-29	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-30	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-08-31	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-01	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-02	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-04	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-05	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-06	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-11	71	0	-9999	0.28
COCORAHS	US1ILDP0038	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-18	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-19	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-20	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-21	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-22	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-23	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-24	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-25	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-26	74	0	-9999	0.29
COCORAHS	US1ILDP0038	2007-09-27	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-09-28	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-10-09	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-10-10	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-10-11	0	0	-9999	0.0
COCORAHS	US1ILDP0038	2007-10-12	0	0	-9999	0.0
