#### LOMBARD 1.0 NNW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0040	2007-06-01	25	0	-9999	0.1
COCORAHS	US1ILDP0040	2007-06-02	53	0	-9999	0.21
COCORAHS	US1ILDP0040	2007-06-03	8	0	-9999	0.03
COCORAHS	US1ILDP0040	2007-06-04	30	0	-9999	0.12
COCORAHS	US1ILDP0040	2007-06-05	135	0	-9999	0.53
COCORAHS	US1ILDP0040	2007-06-07	8	0	-9999	0.03
COCORAHS	US1ILDP0040	2007-06-08	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-09	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-10	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-19	104	0	-9999	0.41
COCORAHS	US1ILDP0040	2007-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-22	13	0	-9999	0.05
COCORAHS	US1ILDP0040	2007-06-23	20	0	-9999	0.08
COCORAHS	US1ILDP0040	2007-06-24	89	0	-9999	0.35
COCORAHS	US1ILDP0040	2007-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-28	132	0	-9999	0.52
COCORAHS	US1ILDP0040	2007-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-04	229	0	-9999	0.9
COCORAHS	US1ILDP0040	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-08	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-10	51	0	-9999	0.2
COCORAHS	US1ILDP0040	2007-07-11	64	0	-9999	0.25
COCORAHS	US1ILDP0040	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-15	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-17	91	0	-9999	0.36
COCORAHS	US1ILDP0040	2007-07-18	76	0	-9999	0.3
COCORAHS	US1ILDP0040	2007-07-19	305	0	-9999	1.2
COCORAHS	US1ILDP0040	2007-07-20	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-21	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-26	64	0	-9999	0.25
COCORAHS	US1ILDP0040	2007-07-27	69	0	-9999	0.27
COCORAHS	US1ILDP0040	2007-07-28	5	0	-9999	0.02
COCORAHS	US1ILDP0040	2007-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-07-30	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-05	160	0	-9999	0.63
COCORAHS	US1ILDP0040	2007-08-06	23	0	-9999	0.09
COCORAHS	US1ILDP0040	2007-08-07	254	0	-9999	1.0
COCORAHS	US1ILDP0040	2007-08-08	36	0	-9999	0.14
COCORAHS	US1ILDP0040	2007-08-09	104	0	-9999	0.41
COCORAHS	US1ILDP0040	2007-08-10	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-11	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-12	46	0	-9999	0.18
COCORAHS	US1ILDP0040	2007-08-13	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-14	198	0	-9999	0.78
COCORAHS	US1ILDP0040	2007-08-15	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-16	89	0	-9999	0.35
COCORAHS	US1ILDP0040	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-18	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-08-19	86	0	-9999	0.34
COCORAHS	US1ILDP0040	2007-08-20	445	0	-9999	1.75
COCORAHS	US1ILDP0040	2007-08-21	23	0	-9999	0.09
COCORAHS	US1ILDP0040	2007-08-22	18	0	-9999	0.07
COCORAHS	US1ILDP0040	2007-08-23	330	0	-9999	1.3
COCORAHS	US1ILDP0040	2007-08-24	368	0	-9999	1.45
COCORAHS	US1ILDP0040	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-09-04	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-09-06	20	0	-9999	0.08
COCORAHS	US1ILDP0040	2007-09-07	48	0	-9999	0.19
COCORAHS	US1ILDP0040	2007-09-08	69	0	-9999	0.27
COCORAHS	US1ILDP0040	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-09-11	66	0	-9999	0.26
COCORAHS	US1ILDP0040	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-09-13	0	0	-9999	0.0
COCORAHS	US1ILDP0040	2007-09-14	0	0	-9999	0.0
