#### GLEN ELLYN 1.4 SE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0047	2007-10-22	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-23	33	0	-9999	0.13
COCORAHS	US1ILDP0047	2007-10-24	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-25	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-26	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-27	74	0	-9999	0.29
COCORAHS	US1ILDP0047	2007-10-28	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-30	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-10-31	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-02	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-03	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-04	5	0	-9999	0.02
COCORAHS	US1ILDP0047	2007-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-07	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-08	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-09	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-11	25	0	-9999	0.1
COCORAHS	US1ILDP0047	2007-11-12	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-13	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-14	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-23	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-24	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-26	3	0	-9999	0.01
COCORAHS	US1ILDP0047	2007-11-27	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-28	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-29	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-11-30	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-01	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-02	140	13	-9999	0.55
COCORAHS	US1ILDP0047	2007-12-03	43	0	-9999	0.17
COCORAHS	US1ILDP0047	2007-12-04	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-05	94	132	-9999	0.37
COCORAHS	US1ILDP0047	2007-12-06	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-07	15	13	-9999	0.06
COCORAHS	US1ILDP0047	2007-12-08	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-09	10	0	-9999	0.04
COCORAHS	US1ILDP0047	2007-12-10	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-11	99	0	-9999	0.39
COCORAHS	US1ILDP0047	2007-12-12	89	0	-9999	0.35
COCORAHS	US1ILDP0047	2007-12-13	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-14	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-15	13	33	-9999	0.05
COCORAHS	US1ILDP0047	2007-12-16	53	66	-9999	0.21
COCORAHS	US1ILDP0047	2007-12-17	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-18	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-19	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-20	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-21	43	0	-9999	0.17
COCORAHS	US1ILDP0047	2007-12-22	3	0	-9999	0.01
COCORAHS	US1ILDP0047	2007-12-23	64	5	-9999	0.25
COCORAHS	US1ILDP0047	2007-12-24	5	3	-9999	0.02
COCORAHS	US1ILDP0047	2007-12-25	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-26	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2007-12-27	18	0	-9999	0.07
COCORAHS	US1ILDP0047	2007-12-28	8	8	-9999	0.03
COCORAHS	US1ILDP0047	2007-12-29	64	33	-9999	0.25
COCORAHS	US1ILDP0047	2007-12-31	3	0	-9999	0.01
COCORAHS	US1ILDP0047	2008-01-01	69	84	-9999	0.27
COCORAHS	US1ILDP0047	2008-01-02	13	13	-9999	0.05
COCORAHS	US1ILDP0047	2008-01-03	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-04	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-07	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-08	259	0	-9999	1.02
COCORAHS	US1ILDP0047	2008-01-09	18	0	-9999	0.07
COCORAHS	US1ILDP0047	2008-01-10	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-11	91	0	-9999	0.36
COCORAHS	US1ILDP0047	2008-01-13	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-14	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-15	5	8	-9999	0.02
COCORAHS	US1ILDP0047	2008-01-16	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-17	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-18	25	8	-9999	0.1
COCORAHS	US1ILDP0047	2008-01-19	5	5	-9999	0.02
COCORAHS	US1ILDP0047	2008-01-20	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-21	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-22	66	76	-9999	0.26
COCORAHS	US1ILDP0047	2008-01-24	15	18	-9999	0.06
COCORAHS	US1ILDP0047	2008-01-25	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-26	13	18	-9999	0.05
COCORAHS	US1ILDP0047	2008-01-27	3	5	-9999	0.01
COCORAHS	US1ILDP0047	2008-01-28	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-01-29	3	0	-9999	0.01
COCORAHS	US1ILDP0047	2008-01-30	33	41	-9999	0.13
COCORAHS	US1ILDP0047	2008-01-31	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-01	132	191	-9999	0.52
COCORAHS	US1ILDP0047	2008-02-02	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-03	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-04	76	84	-9999	0.3
COCORAHS	US1ILDP0047	2008-02-05	97	0	-9999	0.38
COCORAHS	US1ILDP0047	2008-02-06	140	13	-9999	0.55
COCORAHS	US1ILDP0047	2008-02-07	94	64	-9999	0.37
COCORAHS	US1ILDP0047	2008-02-08	10	8	-9999	0.04
COCORAHS	US1ILDP0047	2008-02-09	13	0	-9999	0.05
COCORAHS	US1ILDP0047	2008-02-10	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-11	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-12	13	25	-9999	0.05
COCORAHS	US1ILDP0047	2008-02-13	28	46	-9999	0.11
COCORAHS	US1ILDP0047	2008-02-14	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-15	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-16	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-17	229	0	-9999	0.9
COCORAHS	US1ILDP0047	2008-02-18	46	3	-9999	0.18
COCORAHS	US1ILDP0047	2008-02-19	3	3	-9999	0.01
COCORAHS	US1ILDP0047	2008-02-20	5	8	-9999	0.02
COCORAHS	US1ILDP0047	2008-02-21	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-22	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-23	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-25	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-02-26	142	89	-9999	0.56
COCORAHS	US1ILDP0047	2008-02-27	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-04	5	0	-9999	0.02
COCORAHS	US1ILDP0047	2008-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-08	0	5	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-10	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-15	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-03-18	28	0	-9999	0.11
COCORAHS	US1ILDP0047	2008-03-19	5	0	-9999	0.02
COCORAHS	US1ILDP0047	2008-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-04-04	18	0	-9999	0.07
COCORAHS	US1ILDP0047	2008-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0047	2008-04-08	5	0	-9999	0.02
