#### DARIEN 2.4 SSW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0052	2008-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-04-25	51	0	-9999	0.2
COCORAHS	US1ILDP0052	2008-04-26	114	0	-9999	0.45
COCORAHS	US1ILDP0052	2008-04-27	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-04-28	8	0	-9999	0.03
COCORAHS	US1ILDP0052	2008-04-29	64	0	-9999	0.25
COCORAHS	US1ILDP0052	2008-04-30	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-03	84	0	-9999	0.33
COCORAHS	US1ILDP0052	2008-05-04	8	0	-9999	0.03
COCORAHS	US1ILDP0052	2008-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-07	20	0	-9999	0.08
COCORAHS	US1ILDP0052	2008-05-08	114	0	-9999	0.45
COCORAHS	US1ILDP0052	2008-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-11	315	0	-9999	1.24
COCORAHS	US1ILDP0052	2008-05-12	86	0	-9999	0.34
COCORAHS	US1ILDP0052	2008-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-14	74	0	-9999	0.29
COCORAHS	US1ILDP0052	2008-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-16	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-18	25	0	-9999	0.1
COCORAHS	US1ILDP0052	2008-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-20	8	0	-9999	0.03
COCORAHS	US1ILDP0052	2008-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-26	193	0	-9999	0.76
COCORAHS	US1ILDP0052	2008-05-27	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-05-30	15	0	-9999	0.06
COCORAHS	US1ILDP0052	2008-05-31	48	0	-9999	0.19
COCORAHS	US1ILDP0052	2008-06-01	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-02	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-03	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-04	165	0	-9999	0.65
COCORAHS	US1ILDP0052	2008-06-05	61	0	-9999	0.24
COCORAHS	US1ILDP0052	2008-06-06	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-07	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-09	262	0	-9999	1.03
COCORAHS	US1ILDP0052	2008-06-10	15	0	-9999	0.06
COCORAHS	US1ILDP0052	2008-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-13	130	0	-9999	0.51
COCORAHS	US1ILDP0052	2008-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-15	56	0	-9999	0.22
COCORAHS	US1ILDP0052	2008-06-16	3	0	-9999	0.01
COCORAHS	US1ILDP0052	2008-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-19	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-21	226	0	-9999	0.89
COCORAHS	US1ILDP0052	2008-06-22	33	0	-9999	0.13
COCORAHS	US1ILDP0052	2008-06-23	18	0	-9999	0.07
COCORAHS	US1ILDP0052	2008-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0052	2008-06-25	58	0	-9999	0.23
