#### AURORA 3.5 NE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0057	2008-01-04	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-05	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-06	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-07	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-08	236	0	-9999	0.93
COCORAHS	US1ILDP0057	2008-01-09	56	0	-9999	0.22
COCORAHS	US1ILDP0057	2008-01-10	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-11	94	0	-9999	0.37
COCORAHS	US1ILDP0057	2008-01-12	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-14	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-17	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-18	25	18	-9999	0.1
COCORAHS	US1ILDP0057	2008-01-20	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-21	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-22	51	0	-9999	0.2
COCORAHS	US1ILDP0057	2008-01-23	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-24	25	13	-9999	0.1
COCORAHS	US1ILDP0057	2008-01-25	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-26	3	25	-9999	0.01
COCORAHS	US1ILDP0057	2008-01-27	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-28	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-30	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-01-31	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-01	152	216	-9999	0.6
COCORAHS	US1ILDP0057	2008-02-03	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-04	89	89	-9999	0.35
COCORAHS	US1ILDP0057	2008-02-05	112	0	-9999	0.44
COCORAHS	US1ILDP0057	2008-02-06	122	0	-9999	0.48
COCORAHS	US1ILDP0057	2008-02-07	102	89	-9999	0.4
COCORAHS	US1ILDP0057	2008-02-08	8	8	-9999	0.03
COCORAHS	US1ILDP0057	2008-02-09	8	0	-9999	0.03
COCORAHS	US1ILDP0057	2008-02-10	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-11	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-12	20	18	20	0.08
COCORAHS	US1ILDP0057	2008-02-13	25	25	-9999	0.1
COCORAHS	US1ILDP0057	2008-02-14	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-15	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-17	198	0	-9999	0.78
COCORAHS	US1ILDP0057	2008-02-19	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-20	8	8	-9999	0.03
COCORAHS	US1ILDP0057	2008-02-21	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-22	5	0	5	0.02
COCORAHS	US1ILDP0057	2008-02-23	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-24	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-25	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-26	132	114	-9999	0.52
COCORAHS	US1ILDP0057	2008-02-27	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-28	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-02-29	58	43	58	0.23
COCORAHS	US1ILDP0057	2008-03-01	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-02	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-03	130	0	-9999	0.51
COCORAHS	US1ILDP0057	2008-03-04	10	0	-9999	0.04
COCORAHS	US1ILDP0057	2008-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-07	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-08	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-18	36	0	-9999	0.14
COCORAHS	US1ILDP0057	2008-03-19	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-21	58	10	-9999	0.23
COCORAHS	US1ILDP0057	2008-03-23	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-24	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-28	74	0	-9999	0.29
COCORAHS	US1ILDP0057	2008-03-29	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-03-31	38	0	-9999	0.15
COCORAHS	US1ILDP0057	2008-04-01	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-04	23	0	-9999	0.09
COCORAHS	US1ILDP0057	2008-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-09	163	0	-9999	0.64
COCORAHS	US1ILDP0057	2008-04-10	10	0	-9999	0.04
COCORAHS	US1ILDP0057	2008-04-11	168	0	-9999	0.66
COCORAHS	US1ILDP0057	2008-04-12	10	0	-9999	0.04
COCORAHS	US1ILDP0057	2008-04-13	46	0	-9999	0.18
COCORAHS	US1ILDP0057	2008-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-19	13	0	-9999	0.05
COCORAHS	US1ILDP0057	2008-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-25	41	0	-9999	0.16
COCORAHS	US1ILDP0057	2008-04-26	51	0	-9999	0.2
COCORAHS	US1ILDP0057	2008-04-27	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-04-29	102	0	-9999	0.4
COCORAHS	US1ILDP0057	2008-04-30	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-08	117	0	-9999	0.46
COCORAHS	US1ILDP0057	2008-05-11	356	0	-9999	1.4
COCORAHS	US1ILDP0057	2008-05-12	155	0	-9999	0.61
COCORAHS	US1ILDP0057	2008-05-14	41	0	-9999	0.16
COCORAHS	US1ILDP0057	2008-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-16	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0057	2008-05-26	259	0	-9999	1.02
COCORAHS	US1ILDP0057	2008-05-27	0	0	-9999	0.0
