#### WHEATON 0.5 W IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0058	2008-02-06	135	0	-9999	0.53
COCORAHS	US1ILDP0058	2008-02-07	130	0	-9999	0.51
COCORAHS	US1ILDP0058	2008-02-08	8	0	-9999	0.03
COCORAHS	US1ILDP0058	2008-02-09	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-10	10	0	-9999	0.04
COCORAHS	US1ILDP0058	2008-02-11	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-12	18	0	-9999	0.07
COCORAHS	US1ILDP0058	2008-02-13	30	0	-9999	0.12
COCORAHS	US1ILDP0058	2008-02-14	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-15	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-17	196	0	-9999	0.77
COCORAHS	US1ILDP0058	2008-02-18	124	0	-9999	0.49
COCORAHS	US1ILDP0058	2008-02-19	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-20	8	0	-9999	0.03
COCORAHS	US1ILDP0058	2008-02-21	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-22	3	0	-9999	0.01
COCORAHS	US1ILDP0058	2008-02-23	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-24	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-26	135	0	-9999	0.53
COCORAHS	US1ILDP0058	2008-02-27	8	0	-9999	0.03
COCORAHS	US1ILDP0058	2008-02-28	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-02-29	69	0	-9999	0.27
COCORAHS	US1ILDP0058	2008-03-01	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-02	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-03	84	0	-9999	0.33
COCORAHS	US1ILDP0058	2008-03-04	43	0	-9999	0.17
COCORAHS	US1ILDP0058	2008-03-05	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-06	3	0	-9999	0.01
COCORAHS	US1ILDP0058	2008-03-07	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-08	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-10	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-15	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-18	33	0	-9999	0.13
COCORAHS	US1ILDP0058	2008-03-19	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-20	0	-9999	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-21	64	0	-9999	0.25
COCORAHS	US1ILDP0058	2008-03-22	178	0	-9999	0.7
COCORAHS	US1ILDP0058	2008-03-23	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-24	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-28	86	0	-9999	0.34
COCORAHS	US1ILDP0058	2008-03-29	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-03-31	36	0	-9999	0.14
COCORAHS	US1ILDP0058	2008-04-01	137	0	-9999	0.54
COCORAHS	US1ILDP0058	2008-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-04	23	0	-9999	0.09
COCORAHS	US1ILDP0058	2008-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-08	5	0	-9999	0.02
COCORAHS	US1ILDP0058	2008-04-09	142	0	-9999	0.56
COCORAHS	US1ILDP0058	2008-04-10	10	0	-9999	0.04
COCORAHS	US1ILDP0058	2008-04-11	226	0	-9999	0.89
COCORAHS	US1ILDP0058	2008-04-12	20	0	-9999	0.08
COCORAHS	US1ILDP0058	2008-04-13	36	0	-9999	0.14
COCORAHS	US1ILDP0058	2008-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-19	13	0	-9999	0.05
COCORAHS	US1ILDP0058	2008-04-20	10	0	-9999	0.04
COCORAHS	US1ILDP0058	2008-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-25	30	0	-9999	0.12
COCORAHS	US1ILDP0058	2008-04-26	137	0	-9999	0.54
COCORAHS	US1ILDP0058	2008-04-27	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-28	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-04-29	157	0	-9999	0.62
COCORAHS	US1ILDP0058	2008-04-30	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-03	157	0	-9999	0.62
COCORAHS	US1ILDP0058	2008-05-04	5	0	-9999	0.02
COCORAHS	US1ILDP0058	2008-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-08	163	0	-9999	0.64
COCORAHS	US1ILDP0058	2008-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-11	140	0	-9999	0.55
COCORAHS	US1ILDP0058	2008-05-12	61	0	-9999	0.24
COCORAHS	US1ILDP0058	2008-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-14	56	0	-9999	0.22
COCORAHS	US1ILDP0058	2008-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-16	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-18	71	0	-9999	0.28
COCORAHS	US1ILDP0058	2008-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-20	5	0	-9999	0.02
COCORAHS	US1ILDP0058	2008-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-26	244	0	-9999	0.96
COCORAHS	US1ILDP0058	2008-05-27	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-05-30	33	0	-9999	0.13
COCORAHS	US1ILDP0058	2008-05-31	122	0	-9999	0.48
COCORAHS	US1ILDP0058	2008-06-01	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-02	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-03	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-04	183	0	-9999	0.72
COCORAHS	US1ILDP0058	2008-06-05	147	0	-9999	0.58
COCORAHS	US1ILDP0058	2008-06-06	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-07	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-08	13	0	-9999	0.05
COCORAHS	US1ILDP0058	2008-06-09	249	0	-9999	0.98
COCORAHS	US1ILDP0058	2008-06-10	86	0	-9999	0.34
COCORAHS	US1ILDP0058	2008-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-13	193	0	-9999	0.76
COCORAHS	US1ILDP0058	2008-06-14	33	0	-9999	0.13
COCORAHS	US1ILDP0058	2008-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-19	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-21	140	0	-9999	0.55
COCORAHS	US1ILDP0058	2008-06-22	66	0	-9999	0.26
COCORAHS	US1ILDP0058	2008-06-23	43	0	-9999	0.17
COCORAHS	US1ILDP0058	2008-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-26	30	0	-9999	0.12
COCORAHS	US1ILDP0058	2008-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-06-28	3	0	-9999	0.01
COCORAHS	US1ILDP0058	2008-06-29	89	0	-9999	0.35
COCORAHS	US1ILDP0058	2008-06-30	8	0	-9999	0.03
COCORAHS	US1ILDP0058	2008-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-07-03	8	0	-9999	0.03
COCORAHS	US1ILDP0058	2008-07-04	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0058	2008-07-08	30	0	-9999	0.12
COCORAHS	US1ILDP0058	2008-07-09	25	0	-9999	0.1
