#### GLEN ELLYN 0.8 NW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0060	2008-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-08	5	0	-9999	0.02
COCORAHS	US1ILDP0060	2008-04-09	157	0	-9999	0.62
COCORAHS	US1ILDP0060	2008-04-10	15	0	-9999	0.06
COCORAHS	US1ILDP0060	2008-04-11	226	0	-9999	0.89
COCORAHS	US1ILDP0060	2008-04-12	28	0	-9999	0.11
COCORAHS	US1ILDP0060	2008-04-13	41	0	-9999	0.16
COCORAHS	US1ILDP0060	2008-04-14	3	0	-9999	0.01
COCORAHS	US1ILDP0060	2008-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-19	13	0	-9999	0.05
COCORAHS	US1ILDP0060	2008-04-20	33	0	-9999	0.13
COCORAHS	US1ILDP0060	2008-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-25	23	0	-9999	0.09
COCORAHS	US1ILDP0060	2008-04-26	142	0	-9999	0.56
COCORAHS	US1ILDP0060	2008-04-27	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-28	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-04-29	137	0	-9999	0.54
COCORAHS	US1ILDP0060	2008-04-30	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-03	206	0	-9999	0.81
COCORAHS	US1ILDP0060	2008-05-04	5	0	-9999	0.02
COCORAHS	US1ILDP0060	2008-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-08	165	0	-9999	0.65
COCORAHS	US1ILDP0060	2008-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-16	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-18	69	0	-9999	0.27
COCORAHS	US1ILDP0060	2008-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-20	3	0	-9999	0.01
COCORAHS	US1ILDP0060	2008-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-05-30	38	0	-9999	0.15
COCORAHS	US1ILDP0060	2008-06-03	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-04	173	0	-9999	0.68
COCORAHS	US1ILDP0060	2008-06-05	112	0	-9999	0.44
COCORAHS	US1ILDP0060	2008-06-06	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-13	175	0	-9999	0.69
COCORAHS	US1ILDP0060	2008-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-19	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-21	25	0	-9999	0.1
COCORAHS	US1ILDP0060	2008-06-22	51	0	-9999	0.2
COCORAHS	US1ILDP0060	2008-06-23	33	0	-9999	0.13
COCORAHS	US1ILDP0060	2008-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-26	28	0	-9999	0.11
COCORAHS	US1ILDP0060	2008-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-06-28	5	0	-9999	0.02
COCORAHS	US1ILDP0060	2008-06-29	89	0	-9999	0.35
COCORAHS	US1ILDP0060	2008-06-30	13	0	-9999	0.05
COCORAHS	US1ILDP0060	2008-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-03	33	0	-9999	0.13
COCORAHS	US1ILDP0060	2008-07-04	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-15	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-18	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-19	254	0	-9999	1.0
COCORAHS	US1ILDP0060	2008-07-22	53	0	-9999	0.21
COCORAHS	US1ILDP0060	2008-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-26	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-27	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-28	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-07-30	38	0	-9999	0.15
COCORAHS	US1ILDP0060	2008-07-31	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-01	107	0	-9999	0.42
COCORAHS	US1ILDP0060	2008-08-03	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-05	320	0	-9999	1.26
COCORAHS	US1ILDP0060	2008-08-06	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-07	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-08	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-09	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-10	10	0	-9999	0.04
COCORAHS	US1ILDP0060	2008-08-11	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-12	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-13	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-14	117	0	-9999	0.46
COCORAHS	US1ILDP0060	2008-08-15	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-16	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-18	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-19	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-20	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-21	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-22	3	0	-9999	0.01
COCORAHS	US1ILDP0060	2008-08-23	117	0	-9999	0.46
COCORAHS	US1ILDP0060	2008-08-24	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-25	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-26	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-27	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-28	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-08-29	25	0	-9999	0.1
COCORAHS	US1ILDP0060	2008-09-02	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-04	18	0	-9999	0.07
COCORAHS	US1ILDP0060	2008-09-05	516	0	-9999	2.03
COCORAHS	US1ILDP0060	2008-09-06	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-07	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-08	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-09	312	0	-9999	1.23
COCORAHS	US1ILDP0060	2008-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-11	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-13	762	0	-9999	3.0
COCORAHS	US1ILDP0060	2008-09-14	907	0	-9999	3.57
COCORAHS	US1ILDP0060	2008-09-15	292	0	-9999	1.15
COCORAHS	US1ILDP0060	2008-09-16	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-18	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-19	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-22	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-23	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-24	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-25	130	0	-9999	0.51
COCORAHS	US1ILDP0060	2008-09-26	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-27	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-28	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-29	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-09-30	89	0	-9999	0.35
COCORAHS	US1ILDP0060	2008-10-01	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-02	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-03	5	0	-9999	0.02
COCORAHS	US1ILDP0060	2008-10-04	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-05	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-06	15	0	-9999	0.06
COCORAHS	US1ILDP0060	2008-10-07	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-08	307	0	-9999	1.21
COCORAHS	US1ILDP0060	2008-10-09	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-10	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-13	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-14	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-15	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-16	74	0	-9999	0.29
COCORAHS	US1ILDP0060	2008-10-17	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-18	8	0	-9999	0.03
COCORAHS	US1ILDP0060	2008-10-19	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-20	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-21	56	0	-9999	0.22
COCORAHS	US1ILDP0060	2008-10-22	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-23	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-24	76	0	-9999	0.3
COCORAHS	US1ILDP0060	2008-10-25	46	0	-9999	0.18
COCORAHS	US1ILDP0060	2008-10-26	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-27	3	0	-9999	0.01
COCORAHS	US1ILDP0060	2008-10-28	3	0	-9999	0.01
COCORAHS	US1ILDP0060	2008-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-30	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-10-31	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-11-02	30	0	-9999	0.12
COCORAHS	US1ILDP0060	2008-11-03	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-11-04	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0060	2008-11-06	0	0	-9999	0.0
