#### BARTLETT 1.0 SSE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0063	2008-03-18	10	0	-9999	0.04
COCORAHS	US1ILDP0063	2008-03-19	10	0	-9999	0.04
COCORAHS	US1ILDP0063	2008-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-03-21	3	25	-9999	0.01
COCORAHS	US1ILDP0063	2008-03-22	165	102	165	0.65
COCORAHS	US1ILDP0063	2008-03-23	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-03-24	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-03-31	38	0	-9999	0.15
COCORAHS	US1ILDP0063	2008-04-01	135	0	-9999	0.53
COCORAHS	US1ILDP0063	2008-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-04	58	0	-9999	0.23
COCORAHS	US1ILDP0063	2008-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-09	188	0	-9999	0.74
COCORAHS	US1ILDP0063	2008-04-10	3	0	-9999	0.01
COCORAHS	US1ILDP0063	2008-04-11	147	0	-9999	0.58
COCORAHS	US1ILDP0063	2008-04-12	30	0	-9999	0.12
COCORAHS	US1ILDP0063	2008-04-13	33	0	-9999	0.13
COCORAHS	US1ILDP0063	2008-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-19	23	0	-9999	0.09
COCORAHS	US1ILDP0063	2008-04-20	15	0	-9999	0.06
COCORAHS	US1ILDP0063	2008-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-04-26	119	0	-9999	0.47
COCORAHS	US1ILDP0063	2008-04-27	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-03	140	0	-9999	0.55
COCORAHS	US1ILDP0063	2008-05-04	5	0	-9999	0.02
COCORAHS	US1ILDP0063	2008-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-07	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-08	178	0	-9999	0.7
COCORAHS	US1ILDP0063	2008-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-11	122	0	-9999	0.48
COCORAHS	US1ILDP0063	2008-05-12	97	0	-9999	0.38
COCORAHS	US1ILDP0063	2008-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-14	36	0	-9999	0.14
COCORAHS	US1ILDP0063	2008-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-16	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-18	28	0	-9999	0.11
COCORAHS	US1ILDP0063	2008-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-26	160	0	-9999	0.63
COCORAHS	US1ILDP0063	2008-05-27	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-05-30	25	0	-9999	0.1
COCORAHS	US1ILDP0063	2008-05-31	79	0	-9999	0.31
COCORAHS	US1ILDP0063	2008-06-01	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-02	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-08	38	0	-9999	0.15
COCORAHS	US1ILDP0063	2008-06-09	284	0	-9999	1.12
COCORAHS	US1ILDP0063	2008-06-10	48	0	-9999	0.19
COCORAHS	US1ILDP0063	2008-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-13	94	0	-9999	0.37
COCORAHS	US1ILDP0063	2008-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-16	53	0	-9999	0.21
COCORAHS	US1ILDP0063	2008-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-19	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-21	33	0	-9999	0.13
COCORAHS	US1ILDP0063	2008-06-22	10	0	-9999	0.04
COCORAHS	US1ILDP0063	2008-06-23	8	0	-9999	0.03
COCORAHS	US1ILDP0063	2008-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-26	28	0	-9999	0.11
COCORAHS	US1ILDP0063	2008-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-06-28	3	0	-9999	0.01
COCORAHS	US1ILDP0063	2008-06-29	140	0	-9999	0.55
COCORAHS	US1ILDP0063	2008-06-30	10	0	-9999	0.04
COCORAHS	US1ILDP0063	2008-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-03	20	0	-9999	0.08
COCORAHS	US1ILDP0063	2008-07-04	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-08	81	0	-9999	0.32
COCORAHS	US1ILDP0063	2008-07-09	33	0	-9999	0.13
COCORAHS	US1ILDP0063	2008-07-10	8	0	-9999	0.03
COCORAHS	US1ILDP0063	2008-07-11	241	0	-9999	0.95
COCORAHS	US1ILDP0063	2008-07-12	132	0	-9999	0.52
COCORAHS	US1ILDP0063	2008-07-13	3	0	-9999	0.01
COCORAHS	US1ILDP0063	2008-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-15	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-17	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-18	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-19	246	0	-9999	0.97
COCORAHS	US1ILDP0063	2008-07-20	287	0	-9999	1.13
COCORAHS	US1ILDP0063	2008-07-21	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-22	175	0	-9999	0.69
COCORAHS	US1ILDP0063	2008-07-23	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-25	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-26	0	0	-9999	0.0
COCORAHS	US1ILDP0063	2008-07-27	0	0	-9999	0.0
