#### NAPERVILLE 1.9 ENE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0074	2009-03-07	58	-9999	-9999	0.23
COCORAHS	US1ILDP0074	2009-03-08	582	-9999	-9999	2.29
COCORAHS	US1ILDP0074	2009-03-09	290	-9999	-9999	1.14
COCORAHS	US1ILDP0074	2009-03-10	193	-9999	-9999	0.76
COCORAHS	US1ILDP0074	2009-03-11	76	-9999	-9999	0.3
COCORAHS	US1ILDP0074	2009-03-12	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-15	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-19	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-21	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-22	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-23	0	-9999	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-24	3	-9999	-9999	0.01
COCORAHS	US1ILDP0074	2009-03-25	64	-9999	-9999	0.25
COCORAHS	US1ILDP0074	2009-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-28	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-03-29	259	8	-9999	1.02
COCORAHS	US1ILDP0074	2009-03-30	5	0	-9999	0.02
COCORAHS	US1ILDP0074	2009-03-31	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-04-01	150	-9999	-9999	0.59
COCORAHS	US1ILDP0074	2009-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-04-03	53	-9999	-9999	0.21
COCORAHS	US1ILDP0074	2009-04-04	0	0	-9999	0.0
COCORAHS	US1ILDP0074	2009-04-05	10	-9999	-9999	0.04
