#### NAPERVILLE 1.1 NW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0075	2009-04-01	147	-9999	-9999	0.58
COCORAHS	US1ILDP0075	2009-04-03	64	-9999	-9999	0.25
COCORAHS	US1ILDP0075	2009-04-06	137	84	-9999	0.54
COCORAHS	US1ILDP0075	2009-04-14	178	-9999	-9999	0.7
COCORAHS	US1ILDP0075	2009-04-19	13	-9999	-9999	0.05
COCORAHS	US1ILDP0075	2009-04-20	170	-9999	-9999	0.67
COCORAHS	US1ILDP0075	2009-04-22	51	-9999	-9999	0.2
COCORAHS	US1ILDP0075	2009-04-24	109	-9999	-9999	0.43
COCORAHS	US1ILDP0075	2009-04-26	69	-9999	-9999	0.27
COCORAHS	US1ILDP0075	2009-04-27	114	-9999	-9999	0.45
COCORAHS	US1ILDP0075	2009-04-28	198	-9999	-9999	0.78
COCORAHS	US1ILDP0075	2009-04-29	23	-9999	-9999	0.09
COCORAHS	US1ILDP0075	2009-05-07	86	-9999	-9999	0.34
COCORAHS	US1ILDP0075	2009-05-08	8	-9999	-9999	0.03
COCORAHS	US1ILDP0075	2009-05-14	229	-9999	-9999	0.9
COCORAHS	US1ILDP0075	2009-05-15	8	-9999	-9999	0.03
COCORAHS	US1ILDP0075	2009-05-16	198	-9999	-9999	0.78
COCORAHS	US1ILDP0075	2009-05-27	274	-9999	-9999	1.08
COCORAHS	US1ILDP0075	2009-06-01	97	-9999	-9999	0.38
COCORAHS	US1ILDP0075	2009-06-02	15	-9999	-9999	0.06
COCORAHS	US1ILDP0075	2009-06-03	23	-9999	-9999	0.09
COCORAHS	US1ILDP0075	2009-06-17	300	-9999	-9999	1.18
COCORAHS	US1ILDP0075	2009-06-18	48	-9999	-9999	0.19
COCORAHS	US1ILDP0075	2009-06-19	8	-9999	-9999	0.03
COCORAHS	US1ILDP0075	2009-06-20	112	-9999	-9999	0.44
COCORAHS	US1ILDP0075	2009-06-22	58	-9999	-9999	0.23
COCORAHS	US1ILDP0075	2009-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0075	2009-07-05	69	-9999	-9999	0.27
COCORAHS	US1ILDP0075	2009-07-08	8	-9999	-9999	0.03
COCORAHS	US1ILDP0075	2009-07-09	61	-9999	-9999	0.24
COCORAHS	US1ILDP0075	2009-07-11	64	-9999	-9999	0.25
COCORAHS	US1ILDP0075	2009-07-15	97	-9999	-9999	0.38
COCORAHS	US1ILDP0075	2009-07-17	28	-9999	-9999	0.11
COCORAHS	US1ILDP0075	2009-07-18	5	-9999	-9999	0.02
COCORAHS	US1ILDP0075	2009-07-23	0	-9999	-9999	0.0
COCORAHS	US1ILDP0075	2009-07-24	15	-9999	-9999	0.06
COCORAHS	US1ILDP0075	2009-07-25	79	-9999	-9999	0.31
COCORAHS	US1ILDP0075	2009-07-28	33	-9999	-9999	0.13
COCORAHS	US1ILDP0075	2009-07-31	36	-9999	-9999	0.14
COCORAHS	US1ILDP0075	2009-08-02	18	-9999	-9999	0.07
COCORAHS	US1ILDP0075	2009-08-04	5	-9999	-9999	0.02
COCORAHS	US1ILDP0075	2009-08-08	124	-9999	-9999	0.49
COCORAHS	US1ILDP0075	2009-08-17	513	-9999	-9999	2.02
COCORAHS	US1ILDP0075	2009-08-18	8	-9999	-9999	0.03
COCORAHS	US1ILDP0075	2009-08-20	117	-9999	-9999	0.46
COCORAHS	US1ILDP0075	2009-08-22	66	-9999	-9999	0.26
COCORAHS	US1ILDP0075	2009-08-26	157	-9999	-9999	0.62
COCORAHS	US1ILDP0075	2009-08-27	478	-9999	-9999	1.88
COCORAHS	US1ILDP0075	2009-08-28	165	-9999	-9999	0.65
COCORAHS	US1ILDP0075	2009-08-29	5	-9999	-9999	0.02
COCORAHS	US1ILDP0075	2009-09-06	15	-9999	-9999	0.06
COCORAHS	US1ILDP0075	2009-09-09	10	-9999	-9999	0.04
COCORAHS	US1ILDP0075	2009-09-21	216	-9999	-9999	0.85
