#### ROSELLE 1.1 W IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0077	2009-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-03	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-06	5	-9999	-9999	0.02
COCORAHS	US1ILDP0077	2009-05-07	81	-9999	-9999	0.32
COCORAHS	US1ILDP0077	2009-05-08	3	-9999	-9999	0.01
COCORAHS	US1ILDP0077	2009-05-09	28	-9999	-9999	0.11
COCORAHS	US1ILDP0077	2009-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-12	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-13	91	-9999	-9999	0.36
COCORAHS	US1ILDP0077	2009-05-14	43	-9999	-9999	0.17
COCORAHS	US1ILDP0077	2009-05-15	114	-9999	-9999	0.45
COCORAHS	US1ILDP0077	2009-05-16	5	-9999	-9999	0.02
COCORAHS	US1ILDP0077	2009-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-18	0	-9999	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-19	0	-9999	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-25	20	-9999	-9999	0.08
COCORAHS	US1ILDP0077	2009-05-26	64	-9999	-9999	0.25
COCORAHS	US1ILDP0077	2009-05-27	231	-9999	-9999	0.91
COCORAHS	US1ILDP0077	2009-05-28	0	-9999	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-30	0	-9999	-9999	0.0
COCORAHS	US1ILDP0077	2009-05-31	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-06-01	150	-9999	-9999	0.59
COCORAHS	US1ILDP0077	2009-06-02	41	-9999	-9999	0.16
COCORAHS	US1ILDP0077	2009-06-03	0	-9999	-9999	0.0
COCORAHS	US1ILDP0077	2009-06-04	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-06-05	0	0	-9999	0.0
COCORAHS	US1ILDP0077	2009-06-06	5	-9999	-9999	0.02
COCORAHS	US1ILDP0077	2009-06-07	13	-9999	-9999	0.05
COCORAHS	US1ILDP0077	2009-06-08	112	-9999	-9999	0.44
