#### BURR RIDGE 1.9 SW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0079	2009-05-26	25	-9999	-9999	0.1
COCORAHS	US1ILDP0079	2009-05-27	353	-9999	-9999	1.39
COCORAHS	US1ILDP0079	2009-05-28	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2009-06-01	74	-9999	-9999	0.29
COCORAHS	US1ILDP0079	2009-06-02	99	-9999	-9999	0.39
COCORAHS	US1ILDP0079	2009-06-03	8	-9999	-9999	0.03
COCORAHS	US1ILDP0079	2009-06-08	58	-9999	-9999	0.23
COCORAHS	US1ILDP0079	2009-06-09	5	-9999	-9999	0.02
COCORAHS	US1ILDP0079	2009-06-10	18	-9999	-9999	0.07
COCORAHS	US1ILDP0079	2009-06-11	345	-9999	-9999	1.36
COCORAHS	US1ILDP0079	2009-06-12	51	-9999	-9999	0.2
COCORAHS	US1ILDP0079	2009-06-13	30	-9999	-9999	0.12
COCORAHS	US1ILDP0079	2009-06-14	43	-9999	-9999	0.17
COCORAHS	US1ILDP0079	2009-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-17	424	-9999	-9999	1.67
COCORAHS	US1ILDP0079	2009-06-18	41	-9999	-9999	0.16
COCORAHS	US1ILDP0079	2009-06-19	18	-9999	-9999	0.07
COCORAHS	US1ILDP0079	2009-06-20	89	-9999	-9999	0.35
COCORAHS	US1ILDP0079	2009-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-22	18	-9999	-9999	0.07
COCORAHS	US1ILDP0079	2009-06-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-28	20	-9999	-9999	0.08
COCORAHS	US1ILDP0079	2009-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-01	5	-9999	-9999	0.02
COCORAHS	US1ILDP0079	2009-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-05	56	-9999	-9999	0.22
COCORAHS	US1ILDP0079	2009-07-06	8	-9999	-9999	0.03
COCORAHS	US1ILDP0079	2009-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-08	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-09	64	-9999	-9999	0.25
COCORAHS	US1ILDP0079	2009-07-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-11	109	-9999	-9999	0.43
COCORAHS	US1ILDP0079	2009-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-15	104	-9999	-9999	0.41
COCORAHS	US1ILDP0079	2009-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-17	10	-9999	-9999	0.04
COCORAHS	US1ILDP0079	2009-07-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2009-07-19	0	0	-9999	0.0
