#### VILLA PARK 1.0 NW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0085	2009-10-19	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-10-20	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-10-21	18	-9999	-9999	0.07
COCORAHS	US1ILDP0085	2009-10-22	0	-9999	-9999	0.0
COCORAHS	US1ILDP0085	2009-10-23	467	-9999	-9999	1.84
COCORAHS	US1ILDP0085	2009-10-24	91	-9999	-9999	0.36
COCORAHS	US1ILDP0085	2009-10-25	8	-9999	-9999	0.03
COCORAHS	US1ILDP0085	2009-10-26	76	-9999	-9999	0.3
COCORAHS	US1ILDP0085	2009-10-27	13	-9999	-9999	0.05
COCORAHS	US1ILDP0085	2009-10-28	23	-9999	-9999	0.09
COCORAHS	US1ILDP0085	2009-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-10-30	211	-9999	-9999	0.83
COCORAHS	US1ILDP0085	2009-10-31	226	-9999	-9999	0.89
COCORAHS	US1ILDP0085	2009-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-02	0	-9999	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-03	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-04	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-07	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-08	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-09	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-11	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-12	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-13	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-14	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-15	3	-9999	-9999	0.01
COCORAHS	US1ILDP0085	2009-11-16	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-17	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-18	46	-9999	-9999	0.18
COCORAHS	US1ILDP0085	2009-11-19	61	-9999	-9999	0.24
COCORAHS	US1ILDP0085	2009-11-20	20	-9999	-9999	0.08
COCORAHS	US1ILDP0085	2009-11-21	0	-9999	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-22	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-23	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-24	0	0	-9999	0.0
COCORAHS	US1ILDP0085	2009-11-25	203	-9999	-9999	0.8
COCORAHS	US1ILDP0085	2009-11-26	76	-9999	-9999	0.3
COCORAHS	US1ILDP0085	2009-11-30	0	0	-9999	0.0
