#### ROSELLE 1.2 ESE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0087	2010-03-08	13	-9999	-9999	0.05
COCORAHS	US1ILDP0087	2010-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-10	36	-9999	-9999	0.14
COCORAHS	US1ILDP0087	2010-03-11	84	-9999	-9999	0.33
COCORAHS	US1ILDP0087	2010-03-12	71	-9999	-9999	0.28
COCORAHS	US1ILDP0087	2010-03-14	38	-9999	-9999	0.15
COCORAHS	US1ILDP0087	2010-03-15	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-16	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-19	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-21	46	-9999	-9999	0.18
COCORAHS	US1ILDP0087	2010-03-22	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-23	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-24	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-25	13	-9999	-9999	0.05
COCORAHS	US1ILDP0087	2010-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-28	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-29	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-03-31	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-01	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-03	51	-9999	-9999	0.2
COCORAHS	US1ILDP0087	2010-04-05	241	-9999	-9999	0.95
COCORAHS	US1ILDP0087	2010-04-06	254	-9999	-9999	1.0
COCORAHS	US1ILDP0087	2010-04-07	30	-9999	-9999	0.12
COCORAHS	US1ILDP0087	2010-04-08	23	-9999	-9999	0.09
COCORAHS	US1ILDP0087	2010-04-12	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-13	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-16	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-17	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-22	0	-9999	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-24	64	-9999	-9999	0.25
COCORAHS	US1ILDP0087	2010-04-25	94	-9999	-9999	0.37
COCORAHS	US1ILDP0087	2010-04-26	13	-9999	-9999	0.05
COCORAHS	US1ILDP0087	2010-04-28	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-29	0	-9999	-9999	0.0
COCORAHS	US1ILDP0087	2010-04-30	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-01	20	-9999	-9999	0.08
COCORAHS	US1ILDP0087	2010-05-02	343	-9999	-9999	1.35
COCORAHS	US1ILDP0087	2010-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-07	211	-9999	-9999	0.83
COCORAHS	US1ILDP0087	2010-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-11	254	-9999	-9999	1.0
COCORAHS	US1ILDP0087	2010-05-12	13	-9999	-9999	0.05
COCORAHS	US1ILDP0087	2010-05-13	533	-9999	-9999	2.1
COCORAHS	US1ILDP0087	2010-05-17	0	-9999	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-21	89	-9999	-9999	0.35
COCORAHS	US1ILDP0087	2010-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-26	0	-9999	-9999	0.0
COCORAHS	US1ILDP0087	2010-05-27	165	-9999	-9999	0.65
COCORAHS	US1ILDP0087	2010-05-30	0	0	-9999	0.0
