#### HANOVER PARK 2.2 SSW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0090	2010-05-03	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-04	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-07	160	-9999	-9999	0.63
COCORAHS	US1ILDP0090	2010-05-08	58	-9999	-9999	0.23
COCORAHS	US1ILDP0090	2010-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-11	196	-9999	-9999	0.77
COCORAHS	US1ILDP0090	2010-05-12	64	-9999	-9999	0.25
COCORAHS	US1ILDP0090	2010-05-13	490	-9999	-9999	1.93
COCORAHS	US1ILDP0090	2010-05-14	15	-9999	-9999	0.06
COCORAHS	US1ILDP0090	2010-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-16	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-17	5	-9999	-9999	0.02
COCORAHS	US1ILDP0090	2010-05-18	5	-9999	-9999	0.02
COCORAHS	US1ILDP0090	2010-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-21	79	-9999	-9999	0.31
COCORAHS	US1ILDP0090	2010-05-22	51	-9999	-9999	0.2
COCORAHS	US1ILDP0090	2010-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-26	5	-9999	-9999	0.02
COCORAHS	US1ILDP0090	2010-05-27	249	-9999	-9999	0.98
COCORAHS	US1ILDP0090	2010-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-29	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-30	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-05-31	0	0	-9999	0.0
COCORAHS	US1ILDP0090	2010-06-01	122	-9999	-9999	0.48
COCORAHS	US1ILDP0090	2010-06-02	221	-9999	-9999	0.87
