#### DOWNERS GROVE 0.9 S IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0098	2010-06-20	71	-9999	-9999	0.28
COCORAHS	US1ILDP0098	2011-01-06	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-04	38	-9999	-9999	0.15
COCORAHS	US1ILDP0098	2011-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-08	246	-9999	-9999	0.97
COCORAHS	US1ILDP0098	2011-04-09	3	-9999	-9999	0.01
COCORAHS	US1ILDP0098	2011-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-11	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-12	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-13	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-14	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-15	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-21	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-04-22	86	-9999	-9999	0.34
COCORAHS	US1ILDP0098	2011-04-23	97	-9999	-9999	0.38
COCORAHS	US1ILDP0098	2011-04-24	3	-9999	-9999	0.01
COCORAHS	US1ILDP0098	2011-04-25	8	-9999	-9999	0.03
COCORAHS	US1ILDP0098	2011-04-26	203	-9999	-9999	0.8
COCORAHS	US1ILDP0098	2011-04-27	41	-9999	-9999	0.16
COCORAHS	US1ILDP0098	2011-04-28	66	-9999	-9999	0.26
COCORAHS	US1ILDP0098	2011-04-29	10	-9999	-9999	0.04
COCORAHS	US1ILDP0098	2011-04-30	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-01	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-02	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-03	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-04	3	-9999	-9999	0.01
COCORAHS	US1ILDP0098	2011-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-06	36	-9999	-9999	0.14
COCORAHS	US1ILDP0098	2011-05-07	5	-9999	-9999	0.02
COCORAHS	US1ILDP0098	2011-05-08	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-10	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-12	15	-9999	-9999	0.06
COCORAHS	US1ILDP0098	2011-05-13	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-16	10	-9999	-9999	0.04
COCORAHS	US1ILDP0098	2011-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-18	10	-9999	-9999	0.04
COCORAHS	US1ILDP0098	2011-05-19	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-21	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-05-23	81	-9999	-9999	0.32
COCORAHS	US1ILDP0098	2011-05-24	8	-9999	-9999	0.03
COCORAHS	US1ILDP0098	2011-05-25	81	-9999	-9999	0.32
COCORAHS	US1ILDP0098	2011-05-26	589	-9999	-9999	2.32
COCORAHS	US1ILDP0098	2011-05-27	13	-9999	-9999	0.05
COCORAHS	US1ILDP0098	2011-05-28	10	-9999	-9999	0.04
COCORAHS	US1ILDP0098	2011-05-31	5	-9999	-9999	0.02
COCORAHS	US1ILDP0098	2011-06-01	15	-9999	-9999	0.06
COCORAHS	US1ILDP0098	2011-06-02	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-03	5	-9999	-9999	0.02
COCORAHS	US1ILDP0098	2011-06-15	173	-9999	-9999	0.68
COCORAHS	US1ILDP0098	2011-06-16	76	-9999	-9999	0.3
COCORAHS	US1ILDP0098	2011-06-17	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-19	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-21	28	-9999	-9999	0.11
COCORAHS	US1ILDP0098	2011-06-22	107	-9999	-9999	0.42
COCORAHS	US1ILDP0098	2011-06-23	10	-9999	-9999	0.04
COCORAHS	US1ILDP0098	2011-06-24	15	-9999	-9999	0.06
COCORAHS	US1ILDP0098	2011-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-27	25	-9999	-9999	0.1
COCORAHS	US1ILDP0098	2011-06-28	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-07-01	0	-9999	-9999	0.0
COCORAHS	US1ILDP0098	2011-07-02	0	0	-9999	0.0
COCORAHS	US1ILDP0098	2011-07-03	0	0	-9999	0.0
