#### BOLINGBROOK 2.7 NE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0102	2011-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-05	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-06	10	-9999	-9999	0.04
COCORAHS	US1ILDP0102	2011-08-07	58	-9999	-9999	0.23
COCORAHS	US1ILDP0102	2011-08-08	18	-9999	-9999	0.07
COCORAHS	US1ILDP0102	2011-08-09	84	-9999	-9999	0.33
COCORAHS	US1ILDP0102	2011-08-10	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-11	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-12	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-13	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-14	147	-9999	-9999	0.58
COCORAHS	US1ILDP0102	2011-08-15	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-16	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-17	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-18	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-19	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-20	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-21	165	-9999	-9999	0.65
COCORAHS	US1ILDP0102	2011-08-22	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-23	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-24	305	-9999	-9999	1.2
COCORAHS	US1ILDP0102	2011-08-25	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-26	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-29	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-30	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-08-31	36	-9999	-9999	0.14
COCORAHS	US1ILDP0102	2011-09-01	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-02	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-04	38	-9999	-9999	0.15
COCORAHS	US1ILDP0102	2011-09-05	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-06	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-07	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-08	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-09	10	-9999	-9999	0.04
COCORAHS	US1ILDP0102	2011-09-10	5	-9999	-9999	0.02
COCORAHS	US1ILDP0102	2011-09-11	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-13	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-14	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-15	15	-9999	-9999	0.06
COCORAHS	US1ILDP0102	2011-09-16	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-18	5	-9999	-9999	0.02
COCORAHS	US1ILDP0102	2011-09-19	170	-9999	-9999	0.67
COCORAHS	US1ILDP0102	2011-09-20	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-21	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-22	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-23	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-24	15	-9999	-9999	0.06
COCORAHS	US1ILDP0102	2011-09-25	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-09-26	300	-9999	-9999	1.18
COCORAHS	US1ILDP0102	2011-09-27	191	-9999	-9999	0.75
COCORAHS	US1ILDP0102	2011-09-28	5	-9999	-9999	0.02
COCORAHS	US1ILDP0102	2011-09-29	28	-9999	-9999	0.11
COCORAHS	US1ILDP0102	2011-09-30	33	-9999	-9999	0.13
COCORAHS	US1ILDP0102	2011-10-01	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-02	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-03	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-04	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-05	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-06	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-07	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-08	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-09	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-10	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-11	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-12	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-13	86	-9999	-9999	0.34
COCORAHS	US1ILDP0102	2011-10-14	117	-9999	-9999	0.46
COCORAHS	US1ILDP0102	2011-10-15	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-16	13	-9999	-9999	0.05
COCORAHS	US1ILDP0102	2011-10-17	15	-9999	-9999	0.06
COCORAHS	US1ILDP0102	2011-10-18	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-19	23	-9999	-9999	0.09
COCORAHS	US1ILDP0102	2011-10-20	130	-9999	-9999	0.51
COCORAHS	US1ILDP0102	2011-10-21	5	-9999	-9999	0.02
COCORAHS	US1ILDP0102	2011-10-22	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-23	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-24	84	-9999	-9999	0.33
COCORAHS	US1ILDP0102	2011-10-25	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-26	69	-9999	-9999	0.27
COCORAHS	US1ILDP0102	2011-10-27	5	-9999	-9999	0.02
COCORAHS	US1ILDP0102	2011-10-28	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-30	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-10-31	15	-9999	-9999	0.06
COCORAHS	US1ILDP0102	2011-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-02	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-03	3	-9999	-9999	0.01
COCORAHS	US1ILDP0102	2011-11-04	46	-9999	-9999	0.18
COCORAHS	US1ILDP0102	2011-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-07	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-08	147	-9999	-9999	0.58
COCORAHS	US1ILDP0102	2011-11-09	315	-9999	-9999	1.24
COCORAHS	US1ILDP0102	2011-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-11	0	-9999	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-12	0	0	-9999	0.0
COCORAHS	US1ILDP0102	2011-11-13	0	0	-9999	0.0
