#### GENEVA 1.6 ENE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILKN0001	2006-11-18	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-19	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-20	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-21	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-22	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-23	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-24	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-25	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-26	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-27	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-28	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-11-29	64	0	0	0.25
COCORAHS	US1ILKN0001	2006-11-30	414	0	0	1.63
COCORAHS	US1ILKN0001	2006-12-01	-9999	147	318	-9999
COCORAHS	US1ILKN0001	2006-12-02	48	89	269	0.19
COCORAHS	US1ILKN0001	2006-12-03	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-04	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-05	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-06	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-07	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-08	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-09	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-10	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-11	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-12	8	0	-9999	0.03
COCORAHS	US1ILKN0001	2006-12-13	3	0	-9999	0.01
COCORAHS	US1ILKN0001	2006-12-14	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-15	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-16	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-17	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-18	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-19	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-20	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-21	122	0	-9999	0.48
COCORAHS	US1ILKN0001	2006-12-22	302	0	-9999	1.19
COCORAHS	US1ILKN0001	2006-12-23	112	0	-9999	0.44
COCORAHS	US1ILKN0001	2006-12-24	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-25	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-26	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-27	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-28	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-29	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-30	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2006-12-31	28	0	-9999	0.11
COCORAHS	US1ILKN0001	2007-01-01	23	0	-9999	0.09
COCORAHS	US1ILKN0001	2007-01-02	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-03	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-04	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-05	216	0	-9999	0.85
COCORAHS	US1ILKN0001	2007-01-06	3	0	-9999	0.01
COCORAHS	US1ILKN0001	2007-01-07	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-08	13	0	-9999	0.05
COCORAHS	US1ILKN0001	2007-01-09	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-10	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-11	0	0	-9999	0.0
COCORAHS	US1ILKN0001	2007-01-12	3	0	-9999	0.01
COCORAHS	US1ILKN0001	2007-01-13	23	0	-9999	0.09
COCORAHS	US1ILKN0001	2007-01-14	25	0	-9999	0.1
