#### ELGIN 1.0 S IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILKN0009	2007-01-18	3	3	-9999	0.01
COCORAHS	US1ILKN0009	2007-01-19	13	8	-9999	0.05
COCORAHS	US1ILKN0009	2007-01-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-01-21	3	8	-9999	0.01
COCORAHS	US1ILKN0009	2007-01-22	28	36	-9999	0.11
COCORAHS	US1ILKN0009	2007-01-23	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-01-24	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-01-25	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-01-26	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-01-27	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-01-28	5	13	5	0.02
COCORAHS	US1ILKN0009	2007-01-29	0	0	0	0.0
COCORAHS	US1ILKN0009	2007-01-30	10	23	-9999	0.04
COCORAHS	US1ILKN0009	2007-01-31	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-01	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-02	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-04	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-06	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-07	23	51	23	0.09
COCORAHS	US1ILKN0009	2007-02-08	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-10	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-11	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-12	28	38	28	0.11
COCORAHS	US1ILKN0009	2007-02-13	28	38	28	0.11
COCORAHS	US1ILKN0009	2007-02-14	48	102	48	0.19
COCORAHS	US1ILKN0009	2007-02-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-16	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-17	13	13	-9999	0.05
COCORAHS	US1ILKN0009	2007-02-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-19	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-21	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-22	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-23	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-24	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-02-25	213	102	213	0.84
COCORAHS	US1ILKN0009	2007-02-26	76	38	76	0.3
COCORAHS	US1ILKN0009	2007-02-27	5	0	-9999	0.02
COCORAHS	US1ILKN0009	2007-02-28	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-01	124	0	-9999	0.49
COCORAHS	US1ILKN0009	2007-03-02	97	13	-9999	0.38
COCORAHS	US1ILKN0009	2007-03-03	25	25	-9999	0.1
COCORAHS	US1ILKN0009	2007-03-04	5	0	-9999	0.02
COCORAHS	US1ILKN0009	2007-03-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-06	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-07	8	5	-9999	0.03
COCORAHS	US1ILKN0009	2007-03-08	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-10	107	0	-9999	0.42
COCORAHS	US1ILKN0009	2007-03-11	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-12	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-15	13	0	-9999	0.05
COCORAHS	US1ILKN0009	2007-03-16	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-17	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-19	8	0	-9999	0.03
COCORAHS	US1ILKN0009	2007-03-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-21	165	0	-9999	0.65
COCORAHS	US1ILKN0009	2007-03-22	175	0	-9999	0.69
COCORAHS	US1ILKN0009	2007-03-23	20	0	-9999	0.08
COCORAHS	US1ILKN0009	2007-03-24	28	0	-9999	0.11
COCORAHS	US1ILKN0009	2007-03-25	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-26	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-27	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-28	20	0	-9999	0.08
COCORAHS	US1ILKN0009	2007-03-29	8	0	-9999	0.03
COCORAHS	US1ILKN0009	2007-03-30	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-03-31	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-01	155	0	-9999	0.61
COCORAHS	US1ILKN0009	2007-04-02	41	0	-9999	0.16
COCORAHS	US1ILKN0009	2007-04-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-04	15	0	-9999	0.06
COCORAHS	US1ILKN0009	2007-04-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-06	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-07	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-08	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-10	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-11	86	0	-9999	0.34
COCORAHS	US1ILKN0009	2007-04-12	163	0	-9999	0.64
COCORAHS	US1ILKN0009	2007-04-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-16	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-17	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-19	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-21	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-22	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-23	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-24	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-25	279	0	-9999	1.1
COCORAHS	US1ILKN0009	2007-04-26	99	0	-9999	0.39
COCORAHS	US1ILKN0009	2007-04-27	36	0	-9999	0.14
COCORAHS	US1ILKN0009	2007-04-28	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-29	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-04-30	66	0	-9999	0.26
COCORAHS	US1ILKN0009	2007-05-01	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-02	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-04	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-06	10	0	-9999	0.04
COCORAHS	US1ILKN0009	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-16	89	0	-9999	0.35
COCORAHS	US1ILKN0009	2007-05-17	8	0	-9999	0.03
COCORAHS	US1ILKN0009	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-21	30	0	-9999	0.12
COCORAHS	US1ILKN0009	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-25	41	0	-9999	0.16
COCORAHS	US1ILKN0009	2007-05-26	226	0	-9999	0.89
COCORAHS	US1ILKN0009	2007-05-27	137	0	-9999	0.54
COCORAHS	US1ILKN0009	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-30	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-01	64	0	-9999	0.25
COCORAHS	US1ILKN0009	2007-06-02	48	0	-9999	0.19
COCORAHS	US1ILKN0009	2007-06-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-04	58	0	-9999	0.23
COCORAHS	US1ILKN0009	2007-06-05	211	0	-9999	0.83
COCORAHS	US1ILKN0009	2007-06-06	61	0	-9999	0.24
COCORAHS	US1ILKN0009	2007-06-07	5	0	-9999	0.02
COCORAHS	US1ILKN0009	2007-06-08	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-10	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-11	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-12	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-16	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-17	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-19	130	0	-9999	0.51
COCORAHS	US1ILKN0009	2007-06-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-21	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-22	18	0	-9999	0.07
COCORAHS	US1ILKN0009	2007-06-23	15	0	-9999	0.06
COCORAHS	US1ILKN0009	2007-06-24	74	0	-9999	0.29
COCORAHS	US1ILKN0009	2007-06-25	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-26	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-27	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-28	46	0	-9999	0.18
COCORAHS	US1ILKN0009	2007-06-29	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-06-30	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-01	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-02	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-04	259	0	-9999	1.02
COCORAHS	US1ILKN0009	2007-07-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-06	13	0	-9999	0.05
COCORAHS	US1ILKN0009	2007-07-07	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-10	117	0	-9999	0.46
COCORAHS	US1ILKN0009	2007-07-11	61	0	-9999	0.24
COCORAHS	US1ILKN0009	2007-07-12	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-16	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-17	81	0	-9999	0.32
COCORAHS	US1ILKN0009	2007-07-18	46	0	-9999	0.18
COCORAHS	US1ILKN0009	2007-07-19	411	0	-9999	1.62
COCORAHS	US1ILKN0009	2007-07-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-21	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-22	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-23	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-24	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-25	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-26	114	0	-9999	0.45
COCORAHS	US1ILKN0009	2007-07-27	229	0	-9999	0.9
COCORAHS	US1ILKN0009	2007-07-28	8	0	-9999	0.03
COCORAHS	US1ILKN0009	2007-07-29	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-30	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-07-31	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-01	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-02	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-04	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-05	150	0	0	0.59
COCORAHS	US1ILKN0009	2007-08-06	5	0	-9999	0.02
COCORAHS	US1ILKN0009	2007-08-07	511	0	-9999	2.01
COCORAHS	US1ILKN0009	2007-08-08	18	0	-9999	0.07
COCORAHS	US1ILKN0009	2007-08-09	231	0	-9999	0.91
COCORAHS	US1ILKN0009	2007-08-10	86	0	-9999	0.34
COCORAHS	US1ILKN0009	2007-08-11	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-12	122	0	-9999	0.48
COCORAHS	US1ILKN0009	2007-08-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-14	173	0	-9999	0.68
COCORAHS	US1ILKN0009	2007-08-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-16	20	0	-9999	0.08
COCORAHS	US1ILKN0009	2007-08-17	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-19	386	0	-9999	1.52
COCORAHS	US1ILKN0009	2007-08-20	673	0	-9999	2.65
COCORAHS	US1ILKN0009	2007-08-22	10	0	-9999	0.04
COCORAHS	US1ILKN0009	2007-08-26	975	0	-9999	3.84
COCORAHS	US1ILKN0009	2007-08-27	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-28	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-29	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-08-31	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-01	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-02	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-03	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-04	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-06	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-07	74	0	-9999	0.29
COCORAHS	US1ILKN0009	2007-09-08	69	0	-9999	0.27
COCORAHS	US1ILKN0009	2007-09-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-10	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-11	119	0	-9999	0.47
COCORAHS	US1ILKN0009	2007-09-12	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-15	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-16	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-17	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-18	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-19	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-20	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-22	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-23	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-24	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-25	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-26	292	0	-9999	1.15
COCORAHS	US1ILKN0009	2007-09-27	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-28	5	0	-9999	0.02
COCORAHS	US1ILKN0009	2007-09-29	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-09-30	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-01	170	0	-9999	0.67
COCORAHS	US1ILKN0009	2007-10-02	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-03	30	0	-9999	0.12
COCORAHS	US1ILKN0009	2007-10-04	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-05	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-06	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-07	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-08	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-09	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-10	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-11	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-12	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-13	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-14	0	0	-9999	0.0
COCORAHS	US1ILKN0009	2007-10-15	46	0	-9999	0.18
