#### CARPENTERSVILLE 1.3 ESE IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILKN0042	2008-01-13	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-01-14	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-01-16	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-19	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-20	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-21	10	10	-9999	0.04
COCORAHS	US1ILKN0042	2008-03-22	94	102	-9999	0.37
COCORAHS	US1ILKN0042	2008-03-24	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-25	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-26	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-28	51	51	-9999	0.2
COCORAHS	US1ILKN0042	2008-03-29	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-30	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-03-31	58	0	-9999	0.23
COCORAHS	US1ILKN0042	2008-04-01	246	0	-9999	0.97
COCORAHS	US1ILKN0042	2008-04-02	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-04-03	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-04-04	58	0	-9999	0.23
COCORAHS	US1ILKN0042	2008-04-07	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-04-08	0	0	-9999	0.0
COCORAHS	US1ILKN0042	2008-04-09	168	0	-9999	0.66
COCORAHS	US1ILKN0042	2008-04-10	5	0	-9999	0.02
COCORAHS	US1ILKN0042	2008-04-11	135	0	-9999	0.53
COCORAHS	US1ILKN0042	2008-04-12	30	0	-9999	0.12
COCORAHS	US1ILKN0042	2008-04-13	56	0	-9999	0.22
COCORAHS	US1ILKN0042	2008-04-14	5	0	-9999	0.02
COCORAHS	US1ILKN0042	2008-04-15	0	0	-9999	0.0
