#### BOLINGBROOK 3.5 W IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILWL0031	2007-10-03	66	0	-9999	0.26
COCORAHS	US1ILWL0031	2007-10-04	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-05	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-06	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-07	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-08	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-09	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-10	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-11	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-12	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-13	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-14	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-15	5	0	-9999	0.02
COCORAHS	US1ILWL0031	2007-10-16	99	0	-9999	0.39
COCORAHS	US1ILWL0031	2007-10-17	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-18	102	0	-9999	0.4
COCORAHS	US1ILWL0031	2007-10-19	5	0	-9999	0.02
COCORAHS	US1ILWL0031	2007-10-20	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2007-10-21	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-22	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-23	36	0	-9999	0.14
COCORAHS	US1ILWL0031	2007-10-24	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-25	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-26	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-27	160	0	-9999	0.63
COCORAHS	US1ILWL0031	2007-10-28	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-29	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-30	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-10-31	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-01	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-02	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-03	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-04	10	0	-9999	0.04
COCORAHS	US1ILWL0031	2007-11-05	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-06	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-07	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-08	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-09	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-10	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-11	33	0	-9999	0.13
COCORAHS	US1ILWL0031	2007-11-12	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2007-11-13	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-14	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-15	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-16	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-17	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-18	5	0	-9999	0.02
COCORAHS	US1ILWL0031	2007-11-19	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2007-11-20	8	0	-9999	0.03
COCORAHS	US1ILWL0031	2007-11-21	229	0	-9999	0.9
COCORAHS	US1ILWL0031	2007-11-22	140	0	-9999	0.55
COCORAHS	US1ILWL0031	2007-11-23	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-24	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-25	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-26	5	0	-9999	0.02
COCORAHS	US1ILWL0031	2007-11-27	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-28	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-29	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-11-30	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-01	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-02	160	20	-9999	0.63
COCORAHS	US1ILWL0031	2007-12-03	86	0	-9999	0.34
COCORAHS	US1ILWL0031	2007-12-04	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-05	109	140	-9999	0.43
COCORAHS	US1ILWL0031	2007-12-06	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-07	20	13	-9999	0.08
COCORAHS	US1ILWL0031	2007-12-08	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-09	5	0	-9999	0.02
COCORAHS	US1ILWL0031	2007-12-10	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-11	86	0	-9999	0.34
COCORAHS	US1ILWL0031	2007-12-12	102	0	-9999	0.4
COCORAHS	US1ILWL0031	2007-12-13	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-14	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-15	3	3	-9999	0.01
COCORAHS	US1ILWL0031	2007-12-16	56	102	-9999	0.22
COCORAHS	US1ILWL0031	2007-12-17	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-18	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-19	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-20	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-21	28	0	-9999	0.11
COCORAHS	US1ILWL0031	2007-12-22	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2007-12-23	89	0	-9999	0.35
COCORAHS	US1ILWL0031	2007-12-24	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2007-12-25	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-26	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-27	15	0	-9999	0.06
COCORAHS	US1ILWL0031	2007-12-28	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-29	53	25	-9999	0.21
COCORAHS	US1ILWL0031	2007-12-30	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2007-12-31	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-01	66	76	-9999	0.26
COCORAHS	US1ILWL0031	2008-01-02	10	10	-9999	0.04
COCORAHS	US1ILWL0031	2008-01-03	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-04	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-05	15	0	-9999	0.06
COCORAHS	US1ILWL0031	2008-01-06	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-07	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-08	378	0	-9999	1.49
COCORAHS	US1ILWL0031	2008-01-09	18	0	-9999	0.07
COCORAHS	US1ILWL0031	2008-01-10	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-11	89	0	-9999	0.35
COCORAHS	US1ILWL0031	2008-01-12	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2008-01-13	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-14	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-15	3	3	-9999	0.01
COCORAHS	US1ILWL0031	2008-01-16	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-17	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-18	41	8	-9999	0.16
COCORAHS	US1ILWL0031	2008-01-19	5	5	-9999	0.02
COCORAHS	US1ILWL0031	2008-01-20	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-21	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-22	79	102	-9999	0.31
COCORAHS	US1ILWL0031	2008-01-23	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-24	15	13	-9999	0.06
COCORAHS	US1ILWL0031	2008-01-25	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-26	15	38	-9999	0.06
COCORAHS	US1ILWL0031	2008-01-27	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-28	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-01-29	15	0	-9999	0.06
COCORAHS	US1ILWL0031	2008-01-30	38	25	-9999	0.15
COCORAHS	US1ILWL0031	2008-01-31	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-01	173	191	-9999	0.68
COCORAHS	US1ILWL0031	2008-02-02	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-03	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-04	102	102	-9999	0.4
COCORAHS	US1ILWL0031	2008-02-05	36	0	-9999	0.14
COCORAHS	US1ILWL0031	2008-02-06	122	0	-9999	0.48
COCORAHS	US1ILWL0031	2008-02-07	71	64	-9999	0.28
COCORAHS	US1ILWL0031	2008-02-08	8	13	-9999	0.03
COCORAHS	US1ILWL0031	2008-02-09	33	0	-9999	0.13
COCORAHS	US1ILWL0031	2008-02-10	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-11	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-12	10	15	-9999	0.04
COCORAHS	US1ILWL0031	2008-02-13	15	25	-9999	0.06
COCORAHS	US1ILWL0031	2008-02-14	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-15	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-16	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-17	211	0	-9999	0.83
COCORAHS	US1ILWL0031	2008-02-18	61	0	-9999	0.24
COCORAHS	US1ILWL0031	2008-02-19	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-20	8	13	-9999	0.03
COCORAHS	US1ILWL0031	2008-02-21	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-22	3	0	-9999	0.01
COCORAHS	US1ILWL0031	2008-02-23	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-24	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-25	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-26	155	76	-9999	0.61
COCORAHS	US1ILWL0031	2008-02-27	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-28	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-02-29	36	38	-9999	0.14
COCORAHS	US1ILWL0031	2008-03-01	0	0	-9999	0.0
COCORAHS	US1ILWL0031	2008-03-02	0	0	-9999	0.0
