#### NAPERVILLE 3.6 SSW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILWL0044	2008-04-08	13	0	-9999	0.05
COCORAHS	US1ILWL0044	2008-04-09	157	0	-9999	0.62
COCORAHS	US1ILWL0044	2008-04-10	18	0	-9999	0.07
COCORAHS	US1ILWL0044	2008-04-11	117	0	-9999	0.46
COCORAHS	US1ILWL0044	2008-04-12	18	0	-9999	0.07
COCORAHS	US1ILWL0044	2008-04-13	41	0	-9999	0.16
COCORAHS	US1ILWL0044	2008-04-14	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-15	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-16	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-17	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-18	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-19	20	0	-9999	0.08
COCORAHS	US1ILWL0044	2008-04-20	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-21	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-22	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-23	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-24	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-25	38	0	-9999	0.15
COCORAHS	US1ILWL0044	2008-04-26	109	0	-9999	0.43
COCORAHS	US1ILWL0044	2008-04-27	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-28	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-04-29	114	0	-9999	0.45
COCORAHS	US1ILWL0044	2008-04-30	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-05-01	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-05-02	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-05-05	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-05-06	0	0	-9999	0.0
COCORAHS	US1ILWL0044	2008-05-07	20	0	-9999	0.08
