Date	USGS Gage	Mean Nexrad
2002-02-01	0.01	na
2002-02-02	0.00	na
2002-02-03	0.01	na
2002-02-04	0.00	0.00
2002-02-05	0.00	0.00
2002-02-06	0.03	0.00
2002-02-07	0.15	0.00
2002-02-08	0.05	0.00
2002-02-09	0.01	0.05
2002-02-10	0.08	0.07
2002-02-11	0.00	0.00
2002-02-12	0.00	0.00
2002-02-13	0.00	0.00
2002-02-14	0.00	0.00
2002-02-15	0.00	0.00
2002-02-16	0.00	0.00
2002-02-17	0.00	0.00
2002-02-18	0.00	0.00
2002-02-19	0.50	0.40
2002-02-20	0.49	0.29
2002-02-21	0.00	0.00
2002-02-22	0.00	0.00
2002-02-23	0.00	0.00
2002-02-24	0.00	0.00
2002-02-25	0.00	0.00
2002-02-26	0.00	0.05
2002-02-27	0.00	0.00
2002-02-28	0.00	0.00
2002-03-01	0.00	0.12
2002-03-02	0.15	0.43
2002-03-03	0.00	0.00
2002-03-04	0.00	0.03
2002-03-05	0.00	0.02
2002-03-06	0.42	0.00
2002-03-07	0.00	0.00
2002-03-08	0.19	0.21
2002-03-09	0.48	0.52
2002-03-10	0.00	0.00
2002-03-11	0.00	0.00
2002-03-12	0.00	0.00
2002-03-13	0.00	0.00
2002-03-14	0.00	0.00
2002-03-15	0.00	0.00
2002-03-16	0.00	0.00
2002-03-17	0.00	0.00
2002-03-18	0.00	0.00
2002-03-19	0.01	0.01
2002-03-20	0.02	0.00
2002-03-21	0.00	0.02
2002-03-22	0.00	0.00
2002-03-23	0.00	0.00
2002-03-24	0.00	0.00
2002-03-25	0.00	0.05
2002-03-26	0.01	0.01
2002-03-27	0.00	0.00
2002-03-28	0.00	0.00
2002-03-29	0.55	0.71
2002-03-30	0.00	0.00
2002-03-31	0.00	0.00
2002-04-01	0.18	0.13
2002-04-02	0.07	0.02
2002-04-03	0.00	0.00
2002-04-04	0.00	0.00
2002-04-05	0.00	0.00
2002-04-06	0.00	0.00
2002-04-07	0.38	0.29
2002-04-08	0.82	0.61
2002-04-09	0.08	0.02
2002-04-10	0.00	0.00
2002-04-11	0.00	0.00
2002-04-12	0.00	0.00
2002-04-13	0.00	0.00
2002-04-14	0.00	0.00
2002-04-15	0.01	0.00
2002-04-16	0.00	0.00
2002-04-17	0.05	0.05
2002-04-18	0.01	0.09
2002-04-19	0.32	0.29
2002-04-20	0.28	0.17
2002-04-21	0.29	0.16
2002-04-22	0.01	0.00
2002-04-23	0.00	0.00
2002-04-24	0.23	0.30
2002-04-25	0.00	0.00
2002-04-26	0.00	0.00
2002-04-27	0.66	0.49
2002-04-28	0.01	0.00
2002-04-29	0.00	0.00
2002-04-30	0.00	0.00
2002-05-01	0.15	0.16
2002-05-02	0.02	0.00
2002-05-03	0.00	0.00
2002-05-04	0.00	0.00
2002-05-05	0.00	0.00
2002-05-06	0.05	0.06
2002-05-07	0.00	0.00
2002-05-08	0.08	0.24
2002-05-09	0.31	0.21
2002-05-10	0.00	0.00
2002-05-11	1.99	1.62
2002-05-12	0.38	0.32
2002-05-13	0.00	0.00
2002-05-14	0.00	0.00
2002-05-15	0.00	0.01
2002-05-16	0.88	0.81
2002-05-17	0.00	0.00
2002-05-18	0.00	0.00
2002-05-19	0.01	0.05
2002-05-20	0.00	0.00
2002-05-21	0.00	0.00
2002-05-22	0.00	0.00
2002-05-23	0.03	0.12
2002-05-24	0.04	0.01
2002-05-25	0.24	0.15
2002-05-26	0.00	0.00
2002-05-27	0.00	0.00
2002-05-28	0.00	0.00
2002-05-29	0.00	0.00
2002-05-30	0.00	0.00
2002-05-31	0.00	0.00
2002-06-01	0.00	0.00
2002-06-02	0.00	0.00
2002-06-03	0.29	0.56
2002-06-04	1.93	2.15
2002-06-05	0.00	0.00
2002-06-06	0.00	0.00
2002-06-07	0.00	0.00
2002-06-08	0.00	0.00
