2007-02-01 00:00:00 - 2012-09-30 23:00:00
Station	Missing days in analysis
05531300	0
05531410	47
05533400	256
05540130	605
414158088095600	1163
414306088042100	46
414411087575000	95
414430088035600	57
414613088091000	0
414655088102300	54
414747087582700	737
414843088042500	319
415037087581700	160
415037088110600	379
415125088045700	137
415300088054600	108
415356087575000	89
415518087583000	41
415651088051900	545
415751087591000	69
415755087525300	609
415801088095700	146
420052088034200	324
420453088043200	538
420745088025901	835
