2007-02-01 00:00:00 - 2012-09-30 23:00:00
Station	Missing days in analysis
US1ILCK0046	242
US1ILCK0058	141
US1ILCK0063	57
US1ILCK0075	48
US1ILCK0081	290
US1ILCK0087	354
US1ILCK0106	188
US1ILCK0121	176
US1ILCK0129	264
US1ILCK0131	438
US1ILCK0137	542
US1ILCK0143	322
US1ILCK0177	512
US1ILDP0011	214
US1ILDP0014	55
US1ILDP0016	42
US1ILDP0018	78
US1ILDP0020	49
US1ILDP0024	321
US1ILDP0027	62
US1ILDP0028	172
US1ILDP0029	114
US1ILDP0030	273
US1ILDP0032	63
US1ILDP0034	83
US1ILDP0038	424
US1ILDP0040	98
US1ILDP0042	119
US1ILDP0047	140
US1ILDP0052	568
US1ILDP0057	195
US1ILDP0058	126
US1ILDP0060	265
US1ILDP0063	212
US1ILDP0069	289
US1ILDP0074	292
US1ILDP0075	585
US1ILDP0077	324
US1ILDP0079	310
US1ILDP0083	335
US1ILDP0085	306
US1ILDP0086	482
US1ILDP0087	477
US1ILDP0090	396
US1ILDP0098	561
US1ILDP0101	512
US1ILDP0102	514
US1ILKN0001	44
US1ILKN0009	35
US1ILWL0031	258
US1ILWL0044	472
