2007-02-01 00:00:00 - 2012-09-30 23:00:00
Station	Missing days in analysis
US1ILCK0046	499
US1ILCK0058	500
US1ILCK0063	83
US1ILCK0075	75
US1ILCK0081	605
US1ILCK0087	704
US1ILCK0106	333
US1ILCK0121	317
US1ILCK0129	722
US1ILCK0131	1144
US1ILCK0137	897
US1ILCK0143	653
US1ILCK0177	1070
US1ILDP0011	457
US1ILDP0014	300
US1ILDP0016	28
US1ILDP0018	142
US1ILDP0020	62
US1ILDP0024	726
US1ILDP0027	122
US1ILDP0028	230
US1ILDP0029	288
US1ILDP0030	641
US1ILDP0032	149
US1ILDP0034	158
US1ILDP0038	983
US1ILDP0040	212
US1ILDP0042	184
US1ILDP0047	514
US1ILDP0052	559
US1ILDP0057	731
US1ILDP0058	357
US1ILDP0060	525
US1ILDP0063	449
US1ILDP0069	371
US1ILDP0074	542
US1ILDP0075	1025
US1ILDP0077	565
US1ILDP0079	626
US1ILDP0083	685
US1ILDP0085	732
US1ILDP0086	964
US1ILDP0087	1007
US1ILDP0090	796
US1ILDP0098	1074
US1ILDP0101	1040
US1ILDP0102	1137
US1ILKN0001	159
US1ILKN0009	146
US1ILWL0031	729
US1ILWL0044	490
