2002-02-01 00:00:00 - 2012-09-30 23:00:00
Station	Missing days in analysis
05531300	13
05531410	124
05533400	142
05540130	369
414158088095600	463
414306088042100	10
414411087575000	226
414430088035600	83
414613088091000	13
414655088102300	114
414747087582700	304
414843088042500	163
415037087581700	25
415037088110600	158
415125088045700	112
415300088054600	26
415356087575000	46
415518087583000	31
415651088051900	178
415751087591000	229
415755087525300	311
415801088095700	91
420052088034200	265
420453088043200	786
420745088025901	849
