2002-02-01 00:00:00 - 2012-09-30 23:00:00
Station	Missing days in analysis
05531300	1
05531410	68
05533400	330
05540130	787
414158088095600	1218
414306088042100	63
414411087575000	148
414430088035600	72
414613088091000	29
414655088102300	94
414747087582700	834
414843088042500	364
415037087581700	160
415037088110600	400
415125088045700	379
415300088054600	163
415356087575000	89
415518087583000	147
415651088051900	545
415751087591000	75
415755087525300	652
415801088095700	160
420052088034200	359
420453088043200	1815
420745088025901	2112
